,train_size,test_size,cross_split_overlap
hiv_random_0,32896,8224,0.1028883286297766
hiv_random_1,32896,8224,0.10292487462618
hiv_random_2,32896,8224,0.1028124798415797
hiv_random_3,32896,8224,0.1031187268064145
hiv_random_4,32896,8224,0.10290540581365966
