train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/final_lr_ratio,config/train_loop_config/dropout,config/train_loop_config/message_hidden_dim,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/init_lr_ratio,config/train_loop_config/max_lr,logdir
0.6127771139144897,0.5366209149360657,0.8047839403152466,0.5141886472702026,0.6127771139144897,3,304,1762305857,checkpoint_000003,True,False,4,6bbf8a96,2025-11-05_01-24-17,4.731588840484619,26.537701845169067,3836875,gpu023,10.100.20.23,26.537701845169067,4,5,1,0.2686346120241809,0.2,2300,12,1700,16,0.015350058323922985,0.0038657504949304597,6bbf8a96
5.454070560517721e-05,2.3223090465762652e-05,0.8693094253540039,2.435051202774048,5.454070560517721e-05,96,1843,1762306108,checkpoint_000096,True,False,97,62a6af4d,2025-11-05_01-28-28,2.941403388977051,267.21031737327576,3837197,gpu023,10.100.20.23,267.21031737327576,97,5,2,0.01642599135140187,0.0,1500,73,1500,64,0.5420255208414504,0.0024317064078608923,62a6af4d
0.4106868505477905,0.4537172317504883,0.868248462677002,0.4729582667350769,0.4106868505477905,199,1000,1762306352,checkpoint_000199,True,False,200,0bc5afb8,2025-11-05_01-32-32,2.3796627521514893,478.13266587257385,3839535,gpu023,10.100.20.23,478.13266587257385,200,3,1,0.06511652117588944,0.05,1300,4,1300,256,0.01807625731012587,0.00011354200216483246,0bc5afb8
0.28467124700546265,0.11580637842416763,0.8850308656692505,0.47895827889442444,0.28467124700546265,199,7600,1762306500,checkpoint_000199,True,False,200,f4181aa3,2025-11-05_01-35-00,1.9104676246643066,372.98491954803467,3860673,gpu023,10.100.20.23,372.98491954803467,200,3,1,0.07512125897822718,0.35000000000000003,600,91,700,32,0.061153748243462945,0.0002214188090951472,f4181aa3
0.006075293757021427,2.0793297153431922e-05,0.8823302388191223,2.4475913047790527,0.006075293757021427,199,3800,1762306797,checkpoint_000199,True,False,200,1ec1a2f5,2025-11-05_01-39-57,1.9307308197021484,426.7376298904419,3887142,gpu023,10.100.20.23,426.7376298904419,200,5,2,0.016353190554889485,0.1,900,83,1400,64,0.3673883305724259,0.006128972399315077,1ec1a2f5
7.748821190034505e-06,1.7487848253949778e-06,0.8894675970077515,2.8328633308410645,7.748821190034505e-06,199,15200,1762307255,checkpoint_000199,True,False,200,ec3dd368,2025-11-05_01-47-35,3.641932487487793,733.3289525508881,3905631,gpu023,10.100.20.23,733.3289525508881,200,6,2,0.02222172040491314,0.0,1300,48,1700,16,0.021946359317642338,0.0003197990830689793,ec3dd368
0.2574116885662079,0.3179452121257782,0.8931326866149902,0.46299615502357483,0.2574116885662079,199,1000,1762307440,checkpoint_000199,True,False,200,c9fe5124,2025-11-05_01-50-40,2.9080440998077393,618.6436839103699,3934117,gpu023,10.100.20.23,618.6436839103699,200,4,2,0.042169726361395536,0.35000000000000003,1400,64,2300,256,0.13991517772339898,0.0002466137945092889,c9fe5124
0.11343254894018173,0.2145010083913803,0.8929398655891418,0.5427601337432861,0.11343254894018173,75,1444,1762307464,checkpoint_000075,True,False,76,aaf67fd2,2025-11-05_01-51-04,2.2415168285369873,190.94267892837524,3965454,gpu023,10.100.20.23,190.94267892837524,76,5,2,0.8792865174208353,0.0,600,71,2100,64,0.06703960197018434,0.005188093658601662,aaf67fd2
0.4026934802532196,0.36032310128211975,0.8319830894470215,0.5609197020530701,0.4026934802532196,32,165,1762307568,checkpoint_000032,True,False,33,d82fe699,2025-11-05_01-52-48,3.3835082054138184,112.09618949890137,3979819,gpu023,10.100.20.23,112.09618949890137,33,5,1,0.012697938374386151,0.0,1900,28,400,256,0.026938625063762843,0.009600415414503648,d82fe699
0.0009687576675787568,1.3953443158243317e-05,0.8897569179534912,2.386805534362793,0.0009687576675787568,199,15200,1762308003,checkpoint_000199,True,False,200,f2ac78ce,2025-11-05_02-00-03,2.41235089302063,525.7184085845947,3981291,gpu023,10.100.20.23,525.7184085845947,200,4,2,0.03507113101335751,0.05,300,41,700,16,0.031150936131598892,0.000881870950740583,f2ac78ce
