index,train_size,val_size,test_size,cross_split_overlap
bbbp_random_0,1376,196,393,0.11357442861499042
bbbp_random_1,1376,196,393,0.1134683772716553
bbbp_random_2,1376,196,393,0.11196453863533401
bbbp_random_3,1376,196,393,0.1116975931003973
bbbp_random_4,1376,196,393,0.11179935619364921
