train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_num_layers,config/train_loop_config/depth,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/dropout,config/train_loop_config/init_lr_ratio,config/train_loop_config/final_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/message_hidden_dim,logdir
0.7346228957176208,0.818267822265625,0.6973981261253357,0.6973981261253357,0.7346228957176208,1,64,1768346414,checkpoint_000001,True,False,2,04bf1932,2026-01-13_23-20-14,4.9928367137908936,25.87225651741028,505591,gypsum-gpu181,10.100.31.81,25.87225651741028,2,12,1,5,1700,16,0.2,0.015350058323922984,0.2686346120241809,0.0038657504949304593,2300,04bf1932
0.015729188919067383,0.013355344533920288,0.048047859221696854,0.048047859221696854,0.015729188919067383,39,320,1768346562,checkpoint_000039,True,False,40,39d70088,2026-01-13_23-22-43,3.6111295223236084,159.61121821403503,505687,gypsum-gpu181,10.100.31.81,159.61121821403503,40,73,2,5,1500,64,0.0,0.5420255208414504,0.01642599135140187,0.0024317064078608927,1500,39d70088
0.2917172908782959,0.2798556983470917,0.362903892993927,0.362903892993927,0.2917172908782959,52,106,1768346597,checkpoint_000052,True,False,53,771a5b21,2026-01-13_23-23-17,3.5586485862731934,158.6469488143921,506634,gypsum-gpu181,10.100.31.81,158.6469488143921,53,4,1,3,1300,256,0.05,0.01807625731012587,0.06511652117588942,0.00011354200216483246,1300,771a5b21
0.04571178928017616,0.03850656375288963,0.0794028490781784,0.0794028490781784,0.04571178928017616,199,3200,1768347204,checkpoint_000199,True,False,200,745c8e77,2026-01-13_23-33-24,3.141876459121704,613.2167494297028,514488,gypsum-gpu181,10.100.31.81,613.2167494297028,200,91,1,3,700,32,0.35000000000000003,0.061153748243462945,0.07512125897822718,0.00022141880909514722,600,745c8e77
0.003986915573477745,0.0035357922315597534,0.041695669293403625,0.041695669293403625,0.003986915573477745,160,1288,1768347239,checkpoint_000160,True,False,161,d7e1132b,2026-01-13_23-33-59,3.721402168273926,615.9793791770935,515935,gypsum-gpu181,10.100.31.81,615.9793791770935,161,83,2,5,1400,64,0.1,0.36738833057242587,0.016353190554889485,0.006128972399315077,900,d7e1132b
0.7734978795051575,0.8193396329879761,0.6003112196922302,0.6003112196922302,0.7734978795051575,4,160,1768347269,checkpoint_000004,True,False,5,75a56044,2026-01-13_23-34-29,5.478970050811768,41.873634576797485,554682,gypsum-gpu181,10.100.31.81,41.873634576797485,5,48,2,6,1700,16,0.0,0.021946359317642338,0.022221720404913138,0.0003197990830689794,1300,75a56044
0.9537877440452576,0.9837788343429565,0.7779566049575806,0.7779565453529358,0.9537877440452576,5,12,1768347305,checkpoint_000005,True,False,6,342f71ad,2026-01-13_23-35-05,6.31497049331665,45.66130256652832,556034,gypsum-gpu181,10.100.31.81,45.66130256652832,6,64,2,4,2300,256,0.35000000000000003,0.13991517772339895,0.042169726361395536,0.0002466137945092889,1400,342f71ad
0.37548011541366577,0.351818710565567,0.24829748272895813,0.24829748272895813,0.37548011541366577,6,56,1768347340,checkpoint_000006,True,False,7,be16e799,2026-01-13_23-35-41,4.650623798370361,45.20887589454651,557082,gypsum-gpu181,10.100.31.81,45.20887589454651,7,71,2,5,2100,64,0.0,0.06703960197018434,0.8792865174208353,0.005188093658601662,600,be16e799
0.08755546808242798,0.09066984057426453,0.10238043963909149,0.10238043963909149,0.08755546808242798,25,52,1768347475,checkpoint_000025,True,False,26,afa1b9de,2026-01-13_23-37-55,4.724057674407959,144.958167552948,557971,gypsum-gpu181,10.100.31.81,144.958167552948,26,28,1,5,400,256,0.0,0.026938625063762843,0.012697938374386151,0.009600415414503648,1900,afa1b9de
0.0032887381967157125,0.0030074724927544594,0.046187423169612885,0.046187423169612885,0.0032887381967157125,199,6400,1768348067,checkpoint_000199,True,False,200,ab46885b,2026-01-13_23-47-47,3.557623863220215,695.2160637378693,559078,gypsum-gpu181,10.100.31.81,695.2160637378693,200,41,2,4,700,16,0.05,0.03115093613159889,0.03507113101335751,0.000881870950740583,300,ab46885b
4.808410085388459e-05,6.788147584302351e-05,0.06230767443776131,0.062307678163051605,4.808410085388459e-05,199,1600,1768348930,checkpoint_000199,True,False,200,af73cbc3,2026-01-14_00-02-10,8.190977096557617,1416.3263535499573,565350,gypsum-gpu181,10.100.31.81,1416.3263535499573,200,50,1,4,2300,64,0.0,0.19062047380510463,0.012976423029447038,0.005397775403391675,1900,af73cbc3
2.9513546905945987e-05,6.25909015070647e-05,0.058492112904787064,0.05849210545420647,2.9513546905945987e-05,199,3200,1768349539,checkpoint_000199,True,False,200,3b185542,2026-01-14_00-12-19,4.118520021438599,1439.785320520401,596508,gypsum-gpu181,10.100.31.81,1439.785320520401,200,30,2,4,300,32,0.0,0.2618913912917298,0.3267581227557168,0.0022115033272394305,2200,3b185542
