AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
bbbp_random_1,"[1376, 196, 393]",0.894742250442504,0.904012441635131,0.891975104808807,0.874403357505798,0.893427908420562
bbbp_random_2,"[1376, 196, 393]",0.920444071292877,0.908880710601806,0.914146423339843,0.912225186824798,0.911442399024963
bbbp_random_3,"[1376, 196, 393]",0.933602392673492,0.948282659053802,0.942782521247863,0.94642299413681,0.940606236457824
bbbp_random_4,"[1376, 196, 393]",0.931142807006835,0.935910761356353,0.922531127929687,0.910297155380249,0.959047853946685
bbbp_random_5,"[1376, 196, 393]",0.902649223804473,0.930943131446838,0.927092909812927,0.928293943405151,0.916884541511535
