AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
tox21_random_1,"[5476, 782, 1565]",0.826492071151733,0.819550454616546,0.820756733417511,0.838455140590667,0.832052946090698
tox21_random_2,"[5476, 782, 1565]",0.84693568944931,0.849192798137664,0.838110744953155,0.841889381408691,0.831480205059051
tox21_random_3,"[5476, 782, 1565]",0.838816940784454,0.837652385234832,0.844839811325073,0.835961520671844,0.819856882095336
tox21_random_4,"[5476, 782, 1565]",0.843488276004791,0.837107002735137,0.847098648548126,0.845158159732818,0.85555362701416
tox21_random_5,"[5476, 782, 1565]",0.836068630218505,0.818854749202728,0.828764677047729,0.837989091873169,0.822917222976684
