RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
lipo_random_1,"[2940, 420, 840]",0.518110871315002,0.525553107261657,0.512606382369995,0.516906559467315,0.518190205097198
lipo_random_2,"[2940, 420, 840]",0.489685744047164,0.527527987957,0.514225244522094,0.499537289142608,0.504093468189239
lipo_random_3,"[2940, 420, 840]",0.53364211320877,0.536989688873291,0.53038740158081,0.538605391979217,0.543860256671905
lipo_random_4,"[2940, 420, 840]",0.561621308326721,0.553774714469909,0.589507639408111,0.53608751296997,0.540185809135437
lipo_random_5,"[2940, 420, 840]",0.524756789207458,0.556831061840057,0.529624938964843,0.530723512172699,0.523450434207916
