train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_num_layers,config/train_loop_config/message_hidden_dim,config/train_loop_config/depth,config/train_loop_config/dropout,config/train_loop_config/init_lr_ratio,config/train_loop_config/final_lr_ratio,config/train_loop_config/batch_size,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/max_lr,logdir
0.07416341453790665,0.06712456792593002,0.07986859232187271,0.07986859232187271,0.07416341453790665,25,1456,1763508775,checkpoint_000025,True,False,26,43d8c0a7,2025-11-18_23-32-55,6.068299770355225,175.96127247810364,1698453,gypsum-gpu181,10.100.31.81,175.96127247810364,26,12,1,2300,5,0.2,0.015350058323922984,0.2686346120241809,16,1700,0.0038657504949304593,43d8c0a7
0.08537198603153229,0.0867529809474945,0.07969537377357483,0.07969537377357483,0.08537198603153229,7,112,1763508661,checkpoint_000007,True,False,8,ad4ed625,2025-11-18_23-31-01,3.9473040103912354,50.19534516334534,1698548,gypsum-gpu181,10.100.31.81,50.19534516334534,8,73,2,1500,5,0.0,0.5420255208414504,0.01642599135140187,64,1500,0.0024317064078608927,ad4ed625
0.11379770189523697,0.0932845026254654,0.1254684329032898,0.1254684329032898,0.11379770189523697,199,800,1763509304,checkpoint_000199,True,False,200,71f3fc9f,2025-11-18_23-41-44,2.9780306816101074,615.2568714618683,1701187,gypsum-gpu181,10.100.31.81,615.2568714618683,200,4,1,1300,3,0.05,0.01807625731012587,0.06511652117588942,256,1300,0.00011354200216483246,71f3fc9f
0.05226121470332146,0.03846869617700577,0.06531688570976257,0.06531687825918198,0.05226121470332146,199,5600,1763509466,checkpoint_000199,True,False,200,75728cab,2025-11-18_23-44-26,3.261427879333496,659.0835461616516,1706502,gypsum-gpu181,10.100.31.81,659.0835461616516,200,91,1,600,3,0.35000000000000003,0.061153748243462945,0.07512125897822718,32,700,0.00022141880909514722,75728cab
0.005757184699177742,0.00674936268478632,0.07424160093069077,0.07424160093069077,0.005757184699177742,199,2800,1763510153,checkpoint_000199,True,False,200,ab0cc6c3,2025-11-18_23-55-54,3.2450456619262695,817.4017927646637,1742279,gypsum-gpu181,10.100.31.81,817.4017927646637,200,83,2,900,5,0.1,0.36738833057242587,0.016353190554889485,64,1400,0.006128972399315077,ab0cc6c3
0.001095548621378839,0.001260126824490726,0.06335888057947159,0.06335887312889099,0.001095548621378839,199,11200,1763511230,checkpoint_000199,True,False,200,70dd1cb8,2025-11-19_00-13-50,12.943645477294922,1732.9469237327576,1753019,gypsum-gpu181,10.100.31.81,1732.9469237327576,200,48,2,1300,6,0.0,0.021946359317642338,0.022221720404913138,16,1700,0.0003197990830689794,70dd1cb8
0.04748187214136124,0.04267113655805588,0.06888896971940994,0.06888897716999054,0.04748187214136124,199,800,1763512209,checkpoint_000199,True,False,200,c887d1ec,2025-11-19_00-30-10,8.144857406616211,2019.4633603096008,1783877,gypsum-gpu181,10.100.31.81,2019.4633603096008,200,64,2,1400,4,0.35000000000000003,0.13991517772339895,0.042169726361395536,256,2300,0.0002466137945092889,c887d1ec
0.0029587573371827602,0.0020532221533358097,0.07328423857688904,0.07328423857688904,0.0029587573371827602,199,2800,1763512670,checkpoint_000199,True,False,200,9b366d73,2025-11-19_00-37-50,9.698673009872437,1405.3279814720154,1808693,gypsum-gpu181,10.100.31.81,1405.3279814720154,200,71,2,600,5,0.0,0.06703960197018434,0.8792865174208353,64,2100,0.005188093658601662,9b366d73
0.0008823082898743451,0.0007261852151714265,0.07127683609724045,0.07127683609724045,0.0008823082898743451,199,800,1763513539,checkpoint_000199,True,False,200,aa3c3c79,2025-11-19_00-52-19,5.834880352020264,1294.9172689914703,1832773,gypsum-gpu181,10.100.31.81,1294.9172689914703,200,28,1,1900,5,0.0,0.026938625063762843,0.012697938374386151,256,400,0.009600415414503648,aa3c3c79
0.005818631965667009,0.004995943047106266,0.06410516053438187,0.06410516053438187,0.005818631965667009,199,11200,1763513579,checkpoint_000199,True,False,200,6f06caa4,2025-11-19_00-52-59,4.023916006088257,879.1890811920166,1845644,gypsum-gpu181,10.100.31.81,879.1890811920166,200,41,2,300,4,0.05,0.03115093613159889,0.03507113101335751,16,700,0.000881870950740583,6f06caa4
0.0007063915254548192,0.0013824172783643007,0.08207850158214569,0.08207850158214569,0.0007063915254548192,199,2800,1763515721,checkpoint_000199,True,False,200,5e9ed78b,2025-11-19_01-28-42,11.516653060913086,2145.9812998771667,1885032,gypsum-gpu181,10.100.31.81,2145.9812998771667,200,50,1,1900,4,0.0,0.19062047380510463,0.012976423029447038,64,2300,0.005397775403391675,5e9ed78b
0.0011165272444486618,0.0026361015625298023,0.06811665743589401,0.06811665743589401,0.0011165272444486618,199,5600,1763515738,checkpoint_000199,True,False,200,eda48701,2025-11-19_01-28-58,6.775218725204468,2130.700420856476,1886559,gypsum-gpu181,10.100.31.81,2130.700420856476,200,30,2,2200,4,0.0,0.2618913912917298,0.3267581227557168,32,300,0.0022115033272394305,eda48701
0.030731523409485817,0.029028531163930893,0.0676841214299202,0.0676841214299202,0.030731523409485817,199,1400,1763516775,checkpoint_000199,True,False,200,bdb67052,2025-11-19_01-46-15,9.344506978988647,1021.1149587631226,1935215,gypsum-gpu181,10.100.31.81,1021.1149587631226,200,50,2,1100,4,0.4,0.38680438251474486,0.21711506882709483,128,600,0.0004910275507234434,bdb67052
0.03210543841123581,0.021540729328989983,0.08151334524154663,0.08151334524154663,0.03210543841123581,87,1232,1763516806,checkpoint_000087,True,False,88,3e3d9d54,2025-11-19_01-46-46,8.204367876052856,1040.8065519332886,1935556,gypsum-gpu181,10.100.31.81,1040.8065519332886,88,3,2,2300,2,0.3,0.07068523003134888,0.011209522585777903,64,1400,0.002707486139269477,3e3d9d54
0.010030589997768402,0.008589092642068863,0.07069800794124603,0.07069800794124603,0.010030589997768402,199,2800,1763518461,checkpoint_000199,True,False,200,d7a9f716,2025-11-19_02-14-21,6.279454708099365,1654.327887058258,1965099,gypsum-gpu181,10.100.31.81,1654.327887058258,200,86,2,900,4,0.2,0.4020431849331807,0.6303801815612602,64,2000,0.0034431959924975364,d7a9f716
0.010608334094285965,0.006571816746145487,0.07860201597213745,0.07860203087329865,0.010608334094285965,198,5572,1763519580,checkpoint_000198,True,False,199,83061172,2025-11-19_02-33-00,17.19988179206848,2734.640242099762,1965927,gypsum-gpu181,10.100.31.81,2734.640242099762,199,38,2,2000,4,0.1,0.011627283085174672,0.49201634210439465,32,2300,0.004146096370159047,83061172
0.023189082741737366,0.023064024746418,0.06205464154481888,0.06205464154481888,0.023189082741737366,199,800,1763519592,checkpoint_000199,True,False,200,2f66f3dd,2025-11-19_02-33-12,4.761632919311523,1099.7280442714691,2004488,gypsum-gpu181,10.100.31.81,1099.7280442714691,200,42,2,400,6,0.0,0.6402844912019816,0.022480653045296686,256,1800,0.0006133113864228081,2f66f3dd
0.43191829323768616,0.3409145772457123,0.26753494143486023,0.26753494143486023,0.43191829323768616,7,112,1763519669,checkpoint_000007,True,False,8,8e1b9d7d,2025-11-19_02-34-29,4.8858983516693115,54.761770248413086,2034087,gypsum-gpu181,10.100.31.81,54.761770248413086,8,19,1,2300,3,0.0,0.1277605906233864,0.12435847096952482,64,600,0.00039956190086643976,8e1b9d7d
0.016581319272518158,0.02433386817574501,0.06882171332836151,0.06882171332836151,0.016581319272518158,199,5600,1763520369,checkpoint_000199,True,False,200,c7dfeec0,2025-11-19_02-46-09,3.5328147411346436,737.0998651981354,2034164,gypsum-gpu181,10.100.31.81,737.0998651981354,200,37,1,500,5,0.4,0.05678693896039821,0.015646923793365165,32,2200,0.002097525369866808,c7dfeec0
0.037639498710632324,0.039402075111866,0.08143329620361328,0.08143329620361328,0.037639498710632324,133,1876,1763520097,checkpoint_000133,True,False,134,ce0bb2a3,2025-11-19_02-41-37,2.9239840507507324,400.17817401885986,2036904,gypsum-gpu181,10.100.31.81,400.17817401885986,134,96,1,600,4,0.0,0.1720704297876481,0.27698392227486124,64,500,0.0003753968318214543,ce0bb2a3
0.014054542407393456,0.015744231641292572,0.0794002115726471,0.0794002115726471,0.014054542407393456,199,800,1763522099,checkpoint_000199,True,False,200,505feaff,2025-11-19_03-15-00,6.45058536529541,1967.7376999855042,2068720,gypsum-gpu181,10.100.31.81,1967.7376999855042,200,10,2,2000,4,0.0,0.37118128910202886,0.03767812674208911,256,1400,0.000443240141834771,505feaff
0.0017757988534867764,0.0018856327515095472,0.07910981774330139,0.07910981774330139,0.0017757988534867764,192,5404,1763522054,checkpoint_000192,True,False,193,872d4758,2025-11-19_03-14-14,7.956111192703247,1650.9050550460815,2079939,gypsum-gpu181,10.100.31.81,1650.9050550460815,193,55,2,1000,6,0.0,0.14290101860287793,0.44832854436499076,32,2100,0.008942243948162065,872d4758
0.000727702456060797,0.0019677085801959038,0.06437958031892776,0.06437957286834717,0.000727702456060797,199,5600,1763523849,checkpoint_000199,True,False,200,bd8985d8,2025-11-19_03-44-09,8.004169702529907,1755.5524396896362,2120866,gypsum-gpu181,10.100.31.81,1755.5524396896362,200,11,1,1800,3,0.0,0.037751703726812434,0.06820138495896282,32,2100,0.005170171187308108,bd8985d8
0.017510592937469482,0.016195718199014664,0.06727299839258194,0.06727301329374313,0.017510592937469482,199,800,1763522709,checkpoint_000199,True,False,200,36d84f53,2025-11-19_03-25-09,2.40325927734375,588.7875409126282,2121806,gypsum-gpu181,10.100.31.81,588.7875409126282,200,93,1,500,3,0.15000000000000002,0.8406081742227066,0.06607336324355786,256,600,0.005595669736458433,36d84f53
0.008083981461822987,0.0059486073441803455,0.07924626022577286,0.07924625277519226,0.008083981461822987,199,1400,1763524684,checkpoint_000199,True,False,200,f0a193d3,2025-11-19_03-58-05,13.55876636505127,1943.1701033115387,2150740,gypsum-gpu181,10.100.31.81,1943.1701033115387,200,58,1,2000,5,0.2,0.03899161745429787,0.48233077314690415,128,1500,0.000889685203838667,f0a193d3
