SP,AUC,SD
0,0.897656538,0.036428926
0.05,0.892521499,0.032990179
0.1,0.67170313,0.096444856
0.15,0.656736334,0.056007172
0.2,0.497829463,0.161751401
0.25,0.555833332,0.07408223
0.3,0.236956521,0.03737224
0.35,0.270175441,0.032809272
0.4,0.40874999,0.133708824
0.45,0.311688314,0
