train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/ffn_num_layers,config/train_loop_config/init_lr_ratio,config/train_loop_config/batch_size,config/train_loop_config/dropout,config/train_loop_config/max_lr,config/train_loop_config/depth,config/train_loop_config/final_lr_ratio,config/train_loop_config/warmup_epochs,config/train_loop_config/message_hidden_dim,config/train_loop_config/ffn_hidden_dim,logdir
0.01358265895396471,0.01789189875125885,0.8513071537017822,0.5914048552513123,0.01358265895396471,159,62720,1763051404,checkpoint_000159,True,False,160,dcd59d2e,2025-11-13_16-30-05,13.284010171890259,2181.574115037918,5127,gpu012,10.100.20.12,2181.574115037918,160,1,0.015350058323922985,16,0.2,0.0038657504949304597,5,0.2686346120241809,12,2300,1700,dcd59d2e
0.21659433841705322,0.23457220196723938,0.8086531162261963,0.236659973859787,0.21659433841705322,2,294,1763049299,checkpoint_000002,True,False,3,f8ef6630,2025-11-13_15-55-00,5.705931901931763,54.3160662651062,5751,gpu012,10.100.20.12,54.3160662651062,3,2,0.5420255208414504,64,0.0,0.0024317064078608923,5,0.01642599135140187,73,1500,1500,f8ef6630
0.26196375489234924,0.26031985878944397,0.7176259756088257,0.2801176607608795,0.26196375489234924,9,250,1763049406,checkpoint_000009,True,False,10,6815f419,2025-11-13_15-56-46,3.699047803878784,62.30818057060242,7644,gpu012,10.100.20.12,62.30818057060242,10,1,0.01807625731012587,256,0.05,0.00011354200216483246,3,0.06511652117588944,4,1300,1300,6815f419
0.12701711058616638,0.15165682137012482,0.8666976690292358,0.20817963778972626,0.12701711058616638,199,39200,1763050517,checkpoint_000199,True,False,200,adc76c5c,2025-11-13_16-15-17,5.298701047897339,1056.31338596344,10661,gpu012,10.100.20.12,1056.31338596344,200,1,0.061153748243462945,32,0.35000000000000003,0.0002214188090951472,3,0.07512125897822718,91,600,700,adc76c5c
0.0019109656568616629,0.003154100850224495,0.8610914349555969,0.7307353019714355,0.0019109656568616629,199,19600,1763051616,checkpoint_000199,True,False,200,c930af9b,2025-11-13_16-33-37,5.2753167152404785,1061.6053936481476,56673,gpu012,10.100.20.12,1061.6053936481476,200,2,0.3673883305724259,64,0.1,0.006128972399315077,5,0.016353190554889485,83,900,1400,c930af9b
0.0022107623517513275,0.0003123058413621038,0.855512261390686,0.8515193462371826,0.0022107623517513275,102,40376,1763052738,checkpoint_000102,True,False,103,478b0e48,2025-11-13_16-52-18,14.231294393539429,1310.0232095718384,91247,gpu012,10.100.20.12,1310.0232095718384,103,2,0.021946359317642338,16,0.0,0.0003197990830689793,6,0.02222172040491314,48,1300,1700,478b0e48
0.11262325197458267,0.13027238845825195,0.8737820386886597,0.21044772863388062,0.11262325197458267,199,5000,1763052722,checkpoint_000199,True,False,200,ef64951b,2025-11-13_16-52-02,5.402523517608643,1077.180651664734,99730,gpu012,10.100.20.12,1077.180651664734,200,2,0.13991517772339898,256,0.35000000000000003,0.0002466137945092889,4,0.042169726361395536,64,1400,2300,ef64951b
0.012339717708528042,0.04245057329535484,0.8225111961364746,0.5832890272140503,0.012339717708528042,199,19600,1763053794,checkpoint_000199,True,False,200,9fe64106,2025-11-13_17-09-54,5.057358264923096,1045.5302619934082,140122,gpu012,10.100.20.12,1045.5302619934082,200,2,0.06703960197018434,64,0.0,0.005188093658601662,5,0.8792865174208353,71,600,2100,9fe64106
0.00027265268727205694,0.000384778919396922,0.845278263092041,0.9675959944725037,0.00027265268727205694,199,5000,1763053948,checkpoint_000199,True,False,200,32537c1b,2025-11-13_17-12-29,5.805193185806274,1175.0043802261353,140757,gpu012,10.100.20.12,1175.0043802261353,200,1,0.026938625063762843,256,0.0,0.009600415414503648,5,0.012697938374386151,28,1900,400,32537c1b
0.001161975204013288,3.0541639716830105e-05,0.8528181314468384,0.9949508905410767,0.001161975204013288,199,78400,1763055936,checkpoint_000199,True,False,200,0550b4fb,2025-11-13_17-45-37,10.791603088378906,2093.6532468795776,192985,gpu012,10.100.20.12,2093.6532468795776,200,2,0.031150936131598892,16,0.05,0.000881870950740583,4,0.03507113101335751,41,300,700,0550b4fb
0.000173420732608065,0.00011900193931069225,0.8407931327819824,1.4095184803009033,0.000173420732608065,199,19600,1763055329,checkpoint_000199,True,False,200,9590da9f,2025-11-13_17-35-29,6.496042728424072,1323.121217250824,198261,gpu012,10.100.20.12,1323.121217250824,200,1,0.19062047380510463,64,0.0,0.005397775403391675,4,0.012976423029447038,50,1900,2300,9590da9f
0.0010293680243194103,8.381874795304611e-05,0.8458043932914734,0.7053441405296326,0.0010293680243194103,123,24304,1763056525,checkpoint_000123,True,False,124,2858906f,2025-11-13_17-55-26,8.383612394332886,1118.0160343647003,250100,gpu012,10.100.20.12,1118.0160343647003,124,2,0.2618913912917298,32,0.0,0.0022115033272394305,4,0.3267581227557168,30,2200,300,2858906f
0.05086649954319,0.061309825628995895,0.8592445254325867,0.3183116912841797,0.05086649954319,199,9800,1763056837,checkpoint_000199,True,False,200,ab1efebb,2025-11-13_18-00-38,4.219075918197632,834.9474077224731,268289,gpu012,10.100.20.12,834.9474077224731,200,2,0.38680438251474486,128,0.4,0.0004910275507234434,4,0.21711506882709483,50,1100,600,ab1efebb
0.06879214942455292,0.040963269770145416,0.85679030418396,0.3011595904827118,0.06879214942455292,41,4116,1763056887,checkpoint_000041,True,False,42,42aad0a5,2025-11-13_18-01-27,6.36112380027771,303.20517015457153,296686,gpu012,10.100.20.12,303.20517015457153,42,2,0.07068523003134888,64,0.3,0.002707486139269477,2,0.011209522585777905,3,2300,1400,42aad0a5
0.013850909657776356,0.008111907169222832,0.8496045470237732,0.6070308685302734,0.013850909657776356,199,19600,1763057970,checkpoint_000199,True,False,200,64ea0b86,2025-11-13_18-19-30,5.0887041091918945,1088.0470395088196,312177,gpu012,10.100.20.12,1088.0470395088196,200,2,0.4020431849331807,64,0.2,0.0034431959924975364,4,0.6303801815612602,86,900,2000,64ea0b86
0.008001101203262806,0.0002403194084763527,0.8380748629570007,1.0589669942855835,0.008001101203262806,199,39200,1763058836,checkpoint_000199,True,False,200,4168271a,2025-11-13_18-33-56,9.448853492736816,1905.5449061393738,313673,gpu012,10.100.20.12,1905.5449061393738,200,2,0.011627283085174672,32,0.1,0.004146096370159047,4,0.49201634210439465,38,2000,2300,4168271a
0.04651714116334915,0.05153932049870491,0.8239955306053162,0.40306171774864197,0.04651714116334915,199,5000,1763058685,checkpoint_000199,True,False,200,637066d8,2025-11-13_18-31-25,3.3256568908691406,687.1291718482971,366178,gpu012,10.100.20.12,687.1291718482971,200,2,0.6402844912019816,256,0.0,0.0006133113864228081,6,0.02248065304529669,42,400,1800,637066d8
0.18640510737895966,0.16944962739944458,0.845618724822998,0.21760186553001404,0.18640510737895966,22,2254,1763058871,checkpoint_000022,True,False,23,4baa222c,2025-11-13_18-34-32,6.5015199184417725,163.2339859008789,407776,gpu012,10.100.20.12,163.2339859008789,23,1,0.1277605906233864,64,0.0,0.0003995619008664398,3,0.12435847096952483,19,2300,600,4baa222c
0.04527464136481285,0.04922083020210266,0.8771905303001404,0.3274274170398712,0.04527464136481285,199,39200,1763060196,checkpoint_000199,True,False,200,d5ab76cb,2025-11-13_18-56-36,7.089076280593872,1333.1144635677338,413335,gpu012,10.100.20.12,1333.1144635677338,200,1,0.05678693896039821,32,0.4,0.002097525369866808,5,0.015646923793365165,37,500,2200,d5ab76cb
0.2431030124425888,0.1984369158744812,0.7299738526344299,0.2834683060646057,0.2431030124425888,8,882,1763058934,checkpoint_000008,True,False,9,36e1b7eb,2025-11-13_18-35-34,3.4089159965515137,47.93437457084656,414410,gpu012,10.100.20.12,47.93437457084656,9,1,0.1720704297876481,64,0.0,0.00037539683182145434,4,0.27698392227486124,96,600,500,36e1b7eb
