train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/message_hidden_dim,config/train_loop_config/ffn_num_layers,config/train_loop_config/dropout,config/train_loop_config/depth,config/train_loop_config/init_lr_ratio,config/train_loop_config/final_lr_ratio,config/train_loop_config/warmup_epochs,config/train_loop_config/batch_size,config/train_loop_config/max_lr,config/train_loop_config/ffn_hidden_dim,logdir
0.3414711356163025,0.8933433294296265,0.8579881191253662,0.3500829339027405,0.3414711356163025,4,495,1762334727,checkpoint_000004,True,False,5,1d1c600e,2025-11-05_09-25-27,5.430723190307617,35.241594076156616,1548702,gpu023,10.100.20.23,35.241594076156616,5,2300,1,0.2,5,0.015350058323922985,0.2686346120241809,12,16,0.0038657504949304597,1700,1d1c600e
0.3980940282344818,0.3229246735572815,0.8247863054275513,0.35310840606689453,0.3980940282344818,1,50,1762334714,checkpoint_000001,True,False,2,10d55ae2,2025-11-05_09-25-14,3.5329177379608154,15.47458791732788,1548941,gpu023,10.100.20.23,15.47458791732788,2,1500,2,0.0,5,0.5420255208414504,0.01642599135140187,73,64,0.0024317064078608923,1500,10d55ae2
0.3763371706008911,0.34711113572120667,0.8356344103813171,0.35473522543907166,0.3763371706008911,36,259,1762334827,checkpoint_000036,True,False,37,0aff317a,2025-11-05_09-27-07,2.6969308853149414,101.77578520774841,1550938,gpu023,10.100.20.23,101.77578520774841,37,1300,1,0.05,3,0.01807625731012587,0.06511652117588944,4,256,0.00011354200216483246,1300,0aff317a
0.1003369614481926,0.013588983565568924,0.9381986260414124,0.28951191902160645,0.1003369614481926,199,10000,1762335178,checkpoint_000199,True,False,200,fd0083d3,2025-11-05_09-32-58,1.9610440731048584,430.8430211544037,1551833,gpu023,10.100.20.23,430.8430211544037,200,600,1,0.35000000000000003,3,0.061153748243462945,0.07512125897822718,91,32,0.0002214188090951472,700,fd0083d3
0.0010392351541668177,3.543811317285872e-06,0.8844510316848755,1.5074738264083862,0.0010392351541668177,199,5000,1762335355,checkpoint_000199,True,False,200,6e4c3f8a,2025-11-05_09-35-56,2.8868422508239746,512.2798538208008,1560910,gpu023,10.100.20.23,512.2798538208008,200,900,2,0.1,5,0.3673883305724259,0.016353190554889485,83,64,0.006128972399315077,1400,6e4c3f8a
1.35978427806549e-06,5.947906629444333e-07,0.8939841985702515,1.6671172380447388,1.35978427806549e-06,199,19800,1762336094,checkpoint_000199,True,False,200,59e4ca45,2025-11-05_09-48-14,4.315556287765503,896.9256672859192,1600718,gpu023,10.100.20.23,896.9256672859192,200,1300,2,0.0,6,0.021946359317642338,0.02222172040491314,48,16,0.0003197990830689793,1700,59e4ca45
0.08652452379465103,0.04264204576611519,0.9227481484413147,0.4612635672092438,0.08652452379465103,175,1232,1762336114,checkpoint_000175,True,False,176,3b28d352,2025-11-05_09-48-34,3.6089067459106445,736.9131183624268,1615391,gpu023,10.100.20.23,736.9131183624268,176,1400,2,0.35000000000000003,4,0.13991517772339898,0.042169726361395536,64,256,0.0002466137945092889,2300,3b28d352
6.336949809337966e-07,3.450019457214949e-17,0.8636587858200073,2.933953285217285,6.336949809337966e-07,199,5000,1762336703,checkpoint_000199,True,False,200,80919a88,2025-11-05_09-58-23,3.2075047492980957,588.8565258979797,1656462,gpu023,10.100.20.23,588.8565258979797,200,600,2,0.0,5,0.06703960197018434,0.8792865174208353,71,64,0.005188093658601662,2100,80919a88
0.0005263462662696838,0.00016552384477108717,0.8503451347351074,1.4227396249771118,0.0005263462662696838,199,1400,1762336859,checkpoint_000199,True,False,200,0d173191,2025-11-05_10-00-59,3.312934160232544,726.6891334056854,1657438,gpu023,10.100.20.23,726.6891334056854,200,1900,1,0.0,5,0.026938625063762843,0.012697938374386151,28,256,0.009600415414503648,400,0d173191
0.04315701499581337,0.0017950051696971059,0.9070512056350708,0.7768436670303345,0.04315701499581337,53,5346,1762336884,checkpoint_000053,True,False,54,06b10b1d,2025-11-05_10-01-24,2.975081443786621,166.35213780403137,1699039,gpu023,10.100.20.23,166.35213780403137,54,300,2,0.05,4,0.031150936131598892,0.03507113101335751,41,16,0.000881870950740583,700,06b10b1d
5.8197230828227475e-05,1.5655108427381492e-06,0.8904503583908081,1.4574401378631592,5.8197230828227475e-05,199,5000,1762337699,checkpoint_000199,True,False,200,22689878,2025-11-05_10-14-59,3.894885301589966,811.9373471736908,1710575,gpu023,10.100.20.23,811.9373471736908,200,1900,1,0.0,4,0.19062047380510463,0.012976423029447038,50,64,0.005397775403391675,2300,22689878
2.1040872866251448e-07,7.572552584989012e-10,0.8492767810821533,2.66121768951416,2.1040872866251448e-07,199,10000,1762337794,checkpoint_000199,True,False,200,e91a212a,2025-11-05_10-16-35,4.232929944992065,889.0350208282471,1712286,gpu023,10.100.20.23,889.0350208282471,200,2200,2,0.0,4,0.2618913912917298,0.3267581227557168,30,32,0.0022115033272394305,300,e91a212a
0.19292962551116943,0.15025819838047028,0.9237344264984131,0.2974116802215576,0.19292962551116943,43,572,1762337816,checkpoint_000043,True,False,44,1e7ce6dd,2025-11-05_10-16-56,1.8858914375305176,101.27570867538452,1762904,gpu023,10.100.20.23,101.27570867538452,44,1100,2,0.4,4,0.38680438251474486,0.21711506882709483,50,128,0.0004910275507234434,600,1e7ce6dd
