split,cross_split_overlap_avg,cross_split_overlap_sd,AUC,SPECTRA_parameter,SD
Random,0.1124,0.0010134692070606721,0.92,0.0,0.020
Scaffold,0.11115,0,0.827,0.0,0.019
UMAP,0.11263,0.002827167500656347,0.757,0.0,0.110
