SPECTRA_parameter,average,std
0.0,0.8229419986406962,0.005494849239926885
0.05,0.8096389055252076,0.010541647536911204
0.1,0.8105114499727885,0.0064058158643392855
0.15,0.7938080827395121,0.024172248464950193
0.2,0.8051027456919352,0.021057427055701166
0.25,0.7981580495834351,0.013791134629566121
0.3,0.7922791441281637,0.021831461705369665
0.35,0.7881762981414795,0.029637613416411166
0.4,0.7738024989763895,0.017323240312544314
0.45,0.7594675024350485,0.03721855900822379
0.5,0.7752259572347006,0.016469919173982373
0.55,0.7725339929262797,0.039160576744737295
0.6,0.7647930185000101,0.016503395828102136
0.65,0.7980846563975016,0.005751217222356277
0.7,0.7384835282961527,0.008712432388120927
0.75,0.7570422291755676,0.04568702658327593
0.8,0.7328980167706808,0.0746927913789215
0.85,0.7618648211161295,0.048860050607383076
0.9,0.7143998146057129,0.05902870233772123
0.95,0.7517939607302347,0.044494666125136376
1.0,0.7232753038406372,0.04733646643524011
