SPECTRA_parameter,average,std
0.0,0.7211744983990988,0.046448013373452945
0.05,1.0938990513483684,0.07420474600269195
0.1,1.1147358417510986,0.044313077699585465
0.15,1.196696122487386,0.09576314216787801
0.2,1.3367679913838704,0.22018333570590545
0.25,1.264877160390218,0.054485518179835275
0.3,1.2868541479110718,0.20614971780503552
0.35,1.394919991493225,0.15560926975441294
0.4,1.2310518423716228,0.21962854967582027
0.45,1.2624317804972331,0.26340601572415095
0.5,1.2846015691757202,0.08946225448653655
0.55,1.211312731107076,0.2026486187532102
0.6,1.146451433499654,0.2886372597373269
0.65,1.3104414542516072,0.2113016151278367
0.7,1.4970599015553792,0.5359529847572864
0.75,1.1407212615013123,0.23232911620669516
0.8,1.2609127759933472,0.44583711909695456
0.85,1.5694984992345173,0.6506028848787024
0.9,1.230218529701233,0.5685234951259306
0.95,1.3714617788791656,0.949974244661057
