SPECTRA_parameter,average,std
0.0,1.9338024059931438,0.05302855239833575
0.05,2.5869518915812173,0.17315400155417643
0.1,3.10959521929423,0.37896070668169707
0.15,3.2871050039927163,0.2997389926714474
0.2,3.7663634618123374,0.5987359351083329
0.25,4.62932030359904,0.7276854266380295
0.3,3.913764556248983,1.573780021216031
0.35,4.5640749136606855,1.8484981152331816
0.4,2.903752644856771,0.4613174964529958
0.45,5.232924938201904,1.596896709515867
0.5,4.709293365478516,1.281520550829922
0.55,3.4389703273773193,1.1714875634821693
0.6,4.289276043574016,1.8037618634754666
0.65,5.472257137298584,5.22704019983527
0.7,3.717617909113566,1.5281848403841345
0.75,2.788294553756714,1.4134746723102887
0.8,5.096226851145427,0.5945906183414097
0.85,3.760204792022705,1.9653413069522736
0.9,3.95314351717631,1.479236729794321
0.95,4.659712076187134,1.2071396253890592
1.0,4.982186873753865,2.1261611011323645
