SPECTRA_parameter,average,std
0.0,1.0443012118339539,0.05808886991659996
0.05,1.4549437761306763,0.11727854376772524
0.1,1.6387927134831746,0.12329019265360466
0.15,1.7443752686182659,0.2742196929886398
0.2,1.8969854911168416,0.12982247870374058
0.25,1.6164702971776326,0.10392139814683257
0.3,1.6873618364334106,0.3518876860571409
0.35,1.8796136379241943,0.8500004223997775
0.4,1.6828916867574055,0.0840400818368188
0.45,2.167395273844401,0.44300192430823526
0.5,2.1539211670557656,0.7182183025249564
0.55,1.6311073700586955,0.4312058354193395
0.6,1.4643405079841614,0.7560038136047638
0.65,1.9570434888203938,0.7665839915640954
0.7,1.8757057984670003,0.3668340484824008
0.75,1.7284799416859944,0.3337562288904225
0.8,1.7309972445170085,0.5087649697800751
0.85,1.1239205598831177,0.3699186715296014
0.9,2.291441043217977,1.116571111782987
0.95,2.065772593021393,1.1751176962685184
1.0,2.1624860564867654,1.3248513477156594
