train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/init_lr_ratio,config/train_loop_config/dropout,config/train_loop_config/max_lr,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/final_lr_ratio,config/train_loop_config/message_hidden_dim,logdir
0.06890959292650223,0.08451678603887558,0.1993759125471115,0.1993759125471115,0.06890959292650223,161,34020,1763158958,checkpoint_000161,True,False,162,740df6b2,2025-11-14_22-22-38,11.37032699584961,1913.7688148021698,198162,gypsum-gpu162,10.100.31.62,1913.7688148021698,162,0.015350058323922985,0.2,0.0038657504949304597,12,1700,16,5,1,0.2686346120241809,2300,740df6b2
0.5965538620948792,0.3865044414997101,0.6129446029663086,0.6129446029663086,0.5965538620948792,2,159,1763157119,checkpoint_000002,True,False,3,30201e67,2025-11-14_21-51-59,6.368398666381836,56.452316761016846,198405,gypsum-gpu162,10.100.31.62,56.452316761016846,3,0.5420255208414504,0.0,0.0024317064078608923,73,1500,64,5,2,0.01642599135140187,1500,30201e67
0.23242752254009247,0.30074697732925415,0.2956104576587677,0.2956104576587677,0.23242752254009247,199,2800,1763158018,checkpoint_000199,True,False,200,b9667f92,2025-11-14_22-06-58,4.69423508644104,845.8280556201935,200190,gypsum-gpu162,10.100.31.62,845.8280556201935,200,0.01807625731012587,0.05,0.00011354200216483246,4,1300,256,3,1,0.06511652117588944,1300,b9667f92
0.11112804710865021,0.08512265980243683,0.17366759479045868,0.17366759479045868,0.11112804710865021,199,21000,1763159172,checkpoint_000199,True,False,200,81f996a4,2025-11-14_22-26-12,5.242677927017212,1106.6709344387054,235901,gypsum-gpu162,10.100.31.62,1106.6709344387054,200,0.061153748243462945,0.35000000000000003,0.0002214188090951472,91,700,32,3,1,0.07512125897822718,600,81f996a4
0.016211824491620064,0.015319708734750748,0.20898643136024475,0.20898643136024475,0.016211824491620064,199,10600,1763160070,checkpoint_000199,True,False,200,a711287b,2025-11-14_22-41-10,4.6727378368377686,1046.8946695327759,273546,gypsum-gpu162,10.100.31.62,1046.8946695327759,200,0.3673883305724259,0.1,0.006128972399315077,83,1400,64,5,2,0.016353190554889485,900,a711287b
2.3304046408156864e-05,2.0365851014503278e-05,0.18105867505073547,0.18105867505073547,2.3304046408156864e-05,199,42000,1763161573,checkpoint_000199,True,False,200,409b23f2,2025-11-14_23-06-13,12.500221252441406,2348.6997640132904,282861,gypsum-gpu162,10.100.31.62,2348.6997640132904,200,0.021946359317642338,0.0,0.0003197990830689793,48,1700,16,6,2,0.02222172040491314,1300,409b23f2
0.10477845370769501,0.06789422035217285,0.18671879172325134,0.18671879172325134,0.10477845370769501,199,2800,1763161625,checkpoint_000199,True,False,200,d8b374a2,2025-11-14_23-07-06,6.916711807250977,1498.2491371631622,318731,gypsum-gpu162,10.100.31.62,1498.2491371631622,200,0.13991517772339898,0.35000000000000003,0.0002466137945092889,64,2300,256,4,2,0.042169726361395536,1400,d8b374a2
0.3351740837097168,0.3322967290878296,0.29784831404685974,0.29784831404685974,0.3351740837097168,6,371,1763161679,checkpoint_000006,True,False,7,20014326,2025-11-14_23-08-00,5.2189788818359375,69.96804022789001,361102,gypsum-gpu162,10.100.31.62,69.96804022789001,7,0.06703960197018434,0.0,0.005188093658601662,71,2100,64,5,2,0.8792865174208353,600,20014326
0.0004665882734116167,0.0003284382401034236,0.22554293274879456,0.22554293274879456,0.0004665882734116167,199,2800,1763163128,checkpoint_000199,True,False,200,bd09da3f,2025-11-14_23-32-09,7.2154035568237305,1459.6979732513428,362134,gypsum-gpu162,10.100.31.62,1459.6979732513428,200,0.026938625063762843,0.0,0.009600415414503648,28,400,256,5,1,0.012697938374386151,1900,bd09da3f
0.007769131567329168,0.006965196691453457,0.16545623540878296,0.16545622050762177,0.007769131567329168,199,42000,1763163421,checkpoint_000199,True,False,200,fdafa9c9,2025-11-14_23-37-01,9.509889602661133,1703.4181671142578,363615,gypsum-gpu162,10.100.31.62,1703.4181671142578,200,0.031150936131598892,0.05,0.000881870950740583,41,700,16,4,2,0.03507113101335751,300,fdafa9c9
6.023738387739286e-05,6.3251927713281475e-06,0.22120927274227142,0.22120927274227142,6.023738387739286e-05,199,10600,1763165122,checkpoint_000199,True,False,200,3790c183,2025-11-15_00-05-22,9.205531597137451,1953.2556405067444,413461,gypsum-gpu162,10.100.31.62,1953.2556405067444,200,0.19062047380510463,0.0,0.005397775403391675,50,2300,64,4,1,0.012976423029447038,1900,3790c183
