,train_size,test_size,cross_split_overlap
lipo_umap_0,3660,540,0.129629421574427
lipo_umap_1,3812,388,0.1323685730577824
lipo_umap_2,3312,888,0.1314906338649032
lipo_umap_3,3734,466,0.1286832851363172
lipo_umap_4,3822,378,0.13330177892605455
