,train_size,test_size,cross_split_overlap
bace_umap_0,1154,359,0.1518032936732485
bace_umap_1,1105,408,0.1484591163630735
bace_umap_2,1114,399,0.1519844574634993
bace_umap_3,1250,263,0.1595724105983108
bace_umap_4,1259,254,0.15928607025963662
