,test/roc,test/f1,test/accuracy,test/prc
clintox_scaffold_0,0.9825544357299804,0.9448275566101074,0.9446367025375366,0.983871340751648
clintox_scaffold_1,0.9833327531814576,0.9448275566101074,0.9446367025375366,0.984638214111328
clintox_scaffold_2,0.9835721254348756,0.9448275566101074,0.9446367025375366,0.9848707914352416
clintox_scaffold_3,0.9835123419761658,0.9448275566101074,0.9446367025375366,0.9847362041473388
clintox_scaffold_4,0.9836679697036743,0.9448275566101074,0.9446367025375366,0.9850300550460815
