AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
sider_umap_1,"[984, 140, 303]",0.611246645450592,0.590702414512634,0.597451746463775,0.597526609897613,0.610674023628234
sider_umap_2,"[1011, 144, 272]",0.562501430511474,0.571021914482116,0.573172509670257,0.556118428707122,0.554491460323333
sider_umap_3,"[1022, 145, 260]",0.558541357517242,0.585233211517334,0.574933886528015,0.521901488304138,0.533952474594116
sider_umap_4,"[985, 140, 302]",0.576921939849853,0.57728511095047,0.577974736690521,0.570424318313598,0.570996224880218
sider_umap_5,"[992, 141, 294]",0.596271812915802,0.590260088443756,0.592890202999115,0.573469996452331,0.59926027059555
