AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
bbbp_umap_1,"[1408, 201, 356]",0.663352310657501,0.571732938289642,0.56747156381607,0.683238625526428,0.549715936183929
bbbp_umap_2,"[1245, 177, 543]",0.710213601589202,0.776967227458953,0.836373090744018,0.80661803483963,0.709640443325042
bbbp_umap_3,"[1426, 203, 336]",0.767584085464477,0.757390439510345,0.776758432388305,0.794087648391723,0.726809322834014
bbbp_umap_4,"[1518, 216, 231]",0.819513440132141,0.933465778827667,0.882323741912841,0.70084410905838,0.861717998981475
bbbp_umap_5,"[1436, 205, 324]",0.990683197975158,0.990683197975158,0.745341658592224,0.895962715148925,0.715838551521301
