,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
delaney_spectra_tanimoto_0.85_2,0.85,7,2,0.0,0.7444807291030884,0.6640076637268066,-3.65659761428833
delaney_spectra_tanimoto_0.90_0,0.9,8,2,0.0508769762845849,1.1709692478179932,1.1702969074249268,-0.9666091203689576
delaney_spectra_tanimoto_0.90_1,0.9,6,2,0.0,0.2878971695899963,0.2766144871711731,0.9339247941970824
delaney_spectra_tanimoto_0.90_2,0.9,8,2,0.0384900865539452,0.959470510482788,0.7813987731933594,0.6814589500427246
delaney_spectra_tanimoto_0.95_0,0.95,6,2,0.0357142857142857,0.6541566848754883,0.6497069597244263,-4.869986534118652
delaney_spectra_tanimoto_0.95_1,0.95,7,2,0.0253939608778318,0.9942259192466736,0.9101663827896118,0.6302275061607361
delaney_spectra_tanimoto_0.95_2,0.95,8,3,0.0076041666666666,0.8059044480323792,0.7918787002563477,0.6664646863937378
delaney_spectra_tanimoto_1.00_0,1.0,5,2,0.0,2.2297112941741943,2.2249646186828613,-252.6540069580078
delaney_spectra_tanimoto_1.00_1,1.0,4,2,0.0,3.510032415390014,3.4536666870117188,-31.57412338256836
delaney_spectra_tanimoto_1.00_2,1.0,5,2,0.0,0.7430149912834167,0.5883581638336182,-2.925840139389038
