,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
freesolv_spectra_tanimoto_0.80_1,0.8,12,3,0.042211353378468,4.885769367218018,4.235467433929443,-3.834134101867676
freesolv_spectra_tanimoto_0.80_2,0.8,10,3,0.0178086419753086,5.767422676086426,4.7423505783081055,-0.3318679332733154
freesolv_spectra_tanimoto_0.85_0,0.85,9,3,0.0409919298808187,2.223372459411621,2.21398401260376,-1.8343658447265625
freesolv_spectra_tanimoto_0.85_1,0.85,9,3,0.0081400081400081,5.974710941314697,5.3565192222595215,-0.9167131185531616
freesolv_spectra_tanimoto_0.85_2,0.85,11,3,0.0083122895622895,3.082530975341797,2.6701934337615967,-5.013841152191162
freesolv_spectra_tanimoto_0.90_0,0.9,8,3,0.0088383838383838,2.755319595336914,2.722363233566284,0.2766620516777038
freesolv_spectra_tanimoto_0.90_1,0.9,9,3,0.0139433551198257,5.606595516204834,4.944242477416992,-1.2477481365203855
freesolv_spectra_tanimoto_0.90_2,0.9,9,3,0.0176366843033509,3.4975154399871826,3.0198259353637695,0.1626328229904174
freesolv_spectra_tanimoto_0.95_0,0.95,7,2,0.0026455026455026,5.599908351898193,5.092060089111328,-445.5492248535156
freesolv_spectra_tanimoto_0.95_1,0.95,8,3,0.0130208333333333,5.080798149108887,3.9094669818878174,-1.3764088153839111
freesolv_spectra_tanimoto_0.95_2,0.95,9,3,0.0128824476650563,3.2984297275543213,3.248004198074341,0.5350691676139832
freesolv_spectra_tanimoto_1.00_0,1.0,8,2,0.0,5.801758766174316,4.195193290710449,-1.4521267414093018
freesolv_spectra_tanimoto_1.00_1,1.0,7,2,0.0,6.576593399047852,5.928423881530762,-8.854480743408203
freesolv_spectra_tanimoto_1.00_2,1.0,7,2,0.0,2.5682084560394287,2.0255398750305176,-4.075174331665039
