,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_tanimoto_0.75_0,0.75,37,10,0.0062767952687267,0.8045551776885986,0.720168948173523,0.7347347140312195,0.7467933297157288
sider_spectra_tanimoto_0.75_1,0.75,36,10,0.0046161374348168,0.7881097197532654,0.6675000190734863,0.7263374328613281,0.7020683288574219
sider_spectra_tanimoto_0.75_2,0.75,36,10,0.0081831154644863,0.7629318833351135,0.6537059545516968,0.7067901492118835,0.6813982725143433
sider_spectra_tanimoto_0.80_0,0.8,32,8,0.0029947549061668,0.7978461980819702,0.6810810565948486,0.7268518805503845,0.714712381362915
sider_spectra_tanimoto_0.80_1,0.8,34,9,0.004636602470581,0.7896841168403625,0.644444465637207,0.7211328744888306,0.7045040130615234
sider_spectra_tanimoto_0.80_2,0.8,32,9,0.0100705357274507,0.8043736815452576,0.7081339955329895,0.7175925970077515,0.7575880289077759
sider_spectra_tanimoto_0.85_0,0.85,30,8,0.0053934808395733,0.7994428873062134,0.7074829936027527,0.7345678806304932,0.7227550148963928
sider_spectra_tanimoto_0.85_1,0.85,32,8,0.0010313830092133,0.7942212224006653,0.6695035696029663,0.7303240895271301,0.7056414484977722
sider_spectra_tanimoto_0.85_2,0.85,30,8,0.0027234534525843,0.799612283706665,0.7051745057106018,0.6975308656692505,0.7375274896621704
sider_spectra_tanimoto_0.90_0,0.9,28,7,0.0002061640982923,0.8013824224472046,0.699844479560852,0.7447090148925781,0.7237085700035095
sider_spectra_tanimoto_0.90_1,0.9,28,7,0.0009004164533933,0.7813494801521301,0.6263736486434937,0.7301587462425232,0.6850975155830383
sider_spectra_tanimoto_0.90_2,0.9,26,7,0.0017147499153196,0.7962833046913147,0.6450381875038147,0.7350427508354187,0.6920566558837891
sider_spectra_tanimoto_0.95_0,0.95,22,6,0.0008417508417508,0.801710844039917,0.7036328911781311,0.7390572428703308,0.7402082681655884
sider_spectra_tanimoto_0.95_1,0.95,23,6,0.0,0.7877811193466187,0.6442105174064636,0.727858304977417,0.697473406791687
sider_spectra_tanimoto_0.95_2,0.95,19,5,0.0024449915609854,0.7933942079544067,0.6698564887046814,0.7309941649436951,0.7142482995986938
sider_spectra_tanimoto_1.00_0,1.0,22,6,0.0,0.7975221276283264,0.6005089282989502,0.7356902360916138,0.7027186155319214
sider_spectra_tanimoto_1.00_1,1.0,21,6,0.0,0.7806655764579773,0.5635359287261963,0.7213403582572937,0.6413450241088867
sider_spectra_tanimoto_1.00_2,1.0,20,6,0.0,0.8018624186515808,0.6843177080154419,0.7129629850387573,0.7285686731338501
