,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
delaney_spectra_tanimoto_0.80_2,0.8,9,3,0.0511952048667024,1.2199490070343018,0.9903268814086914,0.6167847514152527
delaney_spectra_tanimoto_0.85_0,0.85,6,2,0.0280515044015241,1.146458625793457,1.0769118070602417,0.6488955616950989
delaney_spectra_tanimoto_0.85_1,0.85,8,2,0.0359848484848484,0.9931755661964417,0.7709991335868835,0.8308641910552979
delaney_spectra_tanimoto_0.85_2,0.85,7,2,0.0,0.9216164946556092,0.7085909247398376,0.3793485164642334
delaney_spectra_tanimoto_0.90_0,0.9,8,2,0.0508769762845849,0.842531144618988,0.7956532835960388,0.6629888415336609
delaney_spectra_tanimoto_0.90_1,0.9,6,2,0.0,1.0687545537948608,0.9565289616584778,0.7101970911026001
delaney_spectra_tanimoto_0.90_2,0.9,8,2,0.0384900865539452,0.8853839635848999,0.7937361001968384,0.7550431489944458
delaney_spectra_tanimoto_0.95_0,0.95,6,2,0.0357142857142857,0.9602755308151244,0.876179039478302,0.5850423574447632
delaney_spectra_tanimoto_0.95_1,0.95,7,2,0.0253939608778318,1.0535975694656372,0.7545321583747864,0.8436681628227234
delaney_spectra_tanimoto_0.95_2,0.95,8,3,0.0076041666666666,1.2076458930969238,1.109932541847229,0.425210952758789
delaney_spectra_tanimoto_1.00_0,1.0,5,2,0.0,0.4689282178878784,0.3925902247428894,0.8232763409614563
delaney_spectra_tanimoto_1.00_1,1.0,4,2,0.0,0.2915729582309723,0.1667688190937042,0.7645998001098633
delaney_spectra_tanimoto_1.00_2,1.0,5,2,0.0,0.46921345591545105,0.4425308108329773,0.865264356136322
