,train_size,test_size,cross_split_overlap
hiv_umap_0,32642,8478,0.1071214053945356
hiv_umap_1,31338,9782,0.1027933950756863
hiv_umap_2,33835,7285,0.1092701711449464
hiv_umap_3,32096,9024,0.1077926418540886
hiv_umap_4,33182,7938,0.10751149527574103
