,train_size,test_size,cross_split_overlap
lipo_umap_0,3496,704,0.1319524387477386
lipo_umap_1,3166,1034,0.1261587937268996
lipo_umap_2,3617,583,0.1280884206629209
lipo_umap_3,3770,430,0.1342988167475354
lipo_umap_4,2999,1201,0.12978599504721433
