train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/dropout,config/train_loop_config/batch_size,config/train_loop_config/final_lr_ratio,config/train_loop_config/init_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/warmup_epochs,config/train_loop_config/message_hidden_dim,logdir
0.5163041949272156,0.48196467757225037,0.8200749158859253,0.5095164775848389,0.5163041949272156,3,288,1761435589,checkpoint_000003,True,False,4,3ed80d2d,2025-10-25_23-39-49,4.715381383895874,28.89835023880005,592148,uri-gpu009,10.100.115.9,28.89835023880005,4,1700,0.2,16,0.2686346120241809,0.015350058323922985,0.0038657504949304597,5,1,12,2300,3ed80d2d
0.07060334086418152,0.07789241522550583,0.8146768808364868,1.6163960695266724,0.07060334086418152,67,1224,1761435792,checkpoint_000067,True,False,68,8de5eb21,2025-10-25_23-43-13,2.796633005142212,221.92919158935547,592292,uri-gpu009,10.100.115.9,221.92919158935547,68,1500,0.0,64,0.01642599135140187,0.5420255208414504,0.0024317064078608923,5,2,73,1500,8de5eb21
0.5210677981376648,0.540880560874939,0.8152903318405151,0.5467720627784729,0.5210677981376648,59,300,1761435770,checkpoint_000059,True,False,60,1af2a3e6,2025-10-25_23-42-50,2.6599929332733154,161.82196140289307,594522,uri-gpu009,10.100.115.9,161.82196140289307,60,1300,0.05,256,0.06511652117588944,0.01807625731012587,0.00011354200216483246,3,1,4,1300,1af2a3e6
0.4359683692455292,0.41181108355522156,0.8212690353393555,0.5372848510742188,0.4359683692455292,199,7200,1761436215,checkpoint_000199,True,False,200,74967001,2025-10-25_23-50-15,2.2071218490600586,424.7862055301666,607481,uri-gpu009,10.100.115.9,424.7862055301666,200,700,0.35000000000000003,32,0.07512125897822718,0.061153748243462945,0.0002214188090951472,3,1,91,600,74967001
0.0020352390129119158,0.0027232461143285036,0.8089308738708496,2.295365810394287,0.0020352390129119158,199,3600,1761436267,checkpoint_000199,True,False,200,bd68da33,2025-10-25_23-51-07,2.2759041786193848,457.5895719528198,608778,uri-gpu009,10.100.115.9,457.5895719528198,200,1400,0.1,64,0.016353190554889485,0.3673883305724259,0.006128972399315077,5,2,83,900,bd68da33
0.03674054890871048,0.0657084584236145,0.8068252205848694,3.831270694732666,0.03674054890871048,199,14400,1761437066,checkpoint_000199,True,False,200,31f0ba43,2025-10-26_00-04-27,4.493963241577148,828.7098231315613,657287,uri-gpu009,10.100.115.9,828.7098231315613,200,1700,0.0,16,0.02222172040491314,0.021946359317642338,0.0003197990830689793,6,2,48,1300,31f0ba43
0.4174479842185974,0.41247841715812683,0.8078132271766663,0.5644996166229248,0.4174479842185974,197,990,1761437087,checkpoint_000197,True,False,198,0ee7a835,2025-10-26_00-04-47,3.508228302001953,799.7545802593231,661372,uri-gpu009,10.100.115.9,799.7545802593231,198,2300,0.35000000000000003,256,0.042169726361395536,0.13991517772339898,0.0002466137945092889,4,2,64,1400,0ee7a835
0.5103911757469177,0.5020233988761902,0.8199475407600403,0.5137284994125366,0.5103911757469177,6,126,1761437108,checkpoint_000006,True,False,7,7902540f,2025-10-26_00-05-08,2.4695165157318115,26.998852014541626,706443,uri-gpu009,10.100.115.9,26.998852014541626,7,2100,0.0,64,0.8792865174208353,0.06703960197018434,0.005188093658601662,5,2,71,600,7902540f
0.394763320684433,0.39782974123954773,0.8279304504394531,0.5554065704345703,0.394763320684433,34,175,1761437215,checkpoint_000034,True,False,35,3b7f5a91,2025-10-26_00-06-55,2.9437389373779297,112.49273157119751,707435,uri-gpu009,10.100.115.9,112.49273157119751,35,400,0.0,256,0.012697938374386151,0.026938625063762843,0.009600415414503648,5,1,28,1900,3b7f5a91
0.1878570020198822,0.3360961675643921,0.8113772869110107,0.9501502513885498,0.1878570020198822,199,14400,1761437621,checkpoint_000199,True,False,200,548becee,2025-10-26_00-13-41,2.623993158340454,495.2314796447754,708722,uri-gpu009,10.100.115.9,495.2314796447754,200,700,0.05,16,0.03507113101335751,0.031150936131598892,0.000881870950740583,4,2,41,300,548becee
