,train_size,test_size,cross_split_overlap
clintox_umap_0,1118,324,0.0941193528068044
clintox_umap_1,1148,294,0.0997158455747702
clintox_umap_2,1186,256,0.1030728731556957
clintox_umap_3,1142,300,0.101897124461702
clintox_umap_4,1074,368,0.09381050801846225
