AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
bace_scaffold_1,"[1064, 151, 298]",0.8803153038024902,0.8448197841644287,0.8738738894462585,0.8803153038024902,0.8448197841644287
bace_scaffold_2,"[1061, 151, 301]",0.865836501121521,0.8690161108970642,0.8758611083030701,0.855767548084259,0.878069281578064
bace_scaffold_3,"[1068, 152, 293]",0.8483983874320984,0.8076076507568359,0.8326826691627502,0.8549549579620361,0.8702702522277832
bace_scaffold_4,"[1064, 152, 297]",0.8795620203018188,0.8621807098388672,0.8827098608016968,0.8887773752212524,0.8795620203018188
bace_scaffold_5,"[1064, 152, 297]",0.8587755560874939,0.8534240126609802,0.8273922801017761,0.8369160890579224,0.8093423843383789
