AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
bbbp_scaffold_1,"[1376, 196, 393]",0.9334632158279419,0.9267191886901855,0.9180281162261963,0.9338430166244507,0.9065824747085571
bbbp_scaffold_2,"[1376, 196, 393]",0.9011507630348206,0.8535024523735046,0.8794252872467041,0.8720996379852295,0.8858391046524048
bbbp_scaffold_3,"[1376, 196, 393]",0.9194003939628601,0.9225888252258301,0.9192032217979431,0.9013543128967285,0.936427652835846
bbbp_scaffold_4,"[1379, 196, 390]",0.9001129269599915,0.9029364585876465,0.8922402858734131,0.9031690359115601,0.9117061495780945
bbbp_scaffold_5,"[1376, 196, 393]",0.8921158909797668,0.8971763849258423,0.8711404204368591,0.9105610251426697,0.9035570621490479
