index,train_size,val_size,test_size,cross_split_overlap
lipo_scaffold_0,2940,420,840,0.1295971932050552
lipo_scaffold_1,2948,421,831,0.1283252699344298
lipo_scaffold_2,2940,420,840,0.1297168553316311
lipo_scaffold_3,2940,420,840,0.13017060763753144
lipo_scaffold_4,2940,420,840,0.1287747118440881
