split,cross_split_overlap_avg,cross_split_overlap_sd,RMSE,SPECTRA_parameter,SD
Random,0.130008,0.00046116995019306663,0.530,0.0,0.021
Scaffold,0.128005,0,0.634,0.0,0.015
UMAP,0.130057,0.0031910209082396286,0.665,0.0,0.110
