split,cross_split_overlap_avg,cross_split_overlap_sd,RMSE,SPECTRA_parameter,SD
Random,0.079535,0.0006483484140651058,1.214,0.0,0.181
Scaffold,0.054032,0,2.600,0.05,0.348
UMAP,0.064372,0.002014007249276444,1.162,0.15,0.202
