train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/batch_size,config/train_loop_config/init_lr_ratio,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/warmup_epochs,config/train_loop_config/depth,config/train_loop_config/dropout,config/train_loop_config/message_hidden_dim,config/train_loop_config/max_lr,config/train_loop_config/ffn_num_layers,config/train_loop_config/final_lr_ratio,logdir
0.4018239974975586,0.3562554717063904,0.8906005620956421,0.4143414795398712,0.4018239974975586,0,72,1763468984,checkpoint_000000,True,False,1,c32e5fe2,2025-11-18_12-29-45,17.278748035430908,17.278748035430908,644875,gpu011,10.100.20.11,17.278748035430908,1,16,0.015350058323922984,1700,12,5,0.2,2300,0.0038657504949304593,1,0.2686346120241809,c32e5fe2
0.15940701961517334,0.13407227396965027,0.9730535745620728,0.22586968541145325,0.15940701961517334,7,144,1763469016,checkpoint_000007,True,False,8,1c464104,2025-11-18_12-30-16,3.1936159133911133,38.50347542762756,644977,gpu011,10.100.20.11,38.50347542762756,8,64,0.5420255208414504,1500,73,5,0.0,1500,0.0024317064078608927,2,0.01642599135140187,1c464104
0.21362218260765076,0.2426305115222931,0.9382824897766113,0.32744723558425903,0.21362218260765076,40,205,1763469128,checkpoint_000040,True,False,41,f6d32446,2025-11-18_12-32-08,2.871173143386841,122.46640300750732,645879,gpu011,10.100.20.11,122.46640300750732,41,256,0.01807625731012587,1300,4,3,0.05,1300,0.00011354200216483246,1,0.06511652117588942,f6d32446
0.033263009041547775,0.040102239698171616,0.962685763835907,0.6363387703895569,0.033263009041547775,199,7200,1763469470,checkpoint_000199,True,False,200,e7e9693d,2025-11-18_12-37-50,2.190061569213867,436.7455277442932,647150,gpu011,10.100.20.11,436.7455277442932,200,32,0.061153748243462945,700,91,3,0.35000000000000003,600,0.00022141880909514722,1,0.07512125897822718,e7e9693d
0.011583610437810421,0.003995061386376619,0.9778462648391724,0.6820729374885559,0.011583610437810421,199,3600,1763469739,checkpoint_000199,True,False,200,c9f18a73,2025-11-18_12-42-19,2.9297358989715576,587.2530717849731,656970,gpu011,10.100.20.11,587.2530717849731,200,64,0.36738833057242587,1400,83,5,0.1,900,0.006128972399315077,2,0.016353190554889485,c9f18a73
0.0013003674102947116,5.9812052199959e-08,0.9635660648345947,1.01592218875885,0.0013003674102947116,199,14400,1763470443,checkpoint_000199,True,False,200,2e81a564,2025-11-18_12-54-04,4.656653642654419,949.4362013339996,691504,gpu011,10.100.20.11,949.4362013339996,200,16,0.021946359317642338,1700,48,6,0.0,1300,0.0003197990830689794,2,0.022221720404913138,2e81a564
0.019553804770112038,0.005560523830354214,0.9694835543632507,0.6754416227340698,0.019553804770112038,199,1000,1763470573,checkpoint_000199,True,False,200,8026fb08,2025-11-18_12-56-13,4.032495021820068,804.8867774009705,710252,gpu011,10.100.20.11,804.8867774009705,200,256,0.13991517772339895,2300,64,4,0.35000000000000003,1400,0.0002466137945092889,2,0.042169726361395536,8026fb08
0.02101057395339012,0.042611606419086456,0.9727845788002014,0.4818897247314453,0.02101057395339012,41,756,1763470603,checkpoint_000041,True,False,42,c6ed3982,2025-11-18_12-56-43,2.9964559078216553,137.76872324943542,746800,gpu011,10.100.20.11,137.76872324943542,42,64,0.06703960197018434,2100,71,5,0.0,600,0.005188093658601662,2,0.8792865174208353,c6ed3982
0.007639121729880571,0.0025687036104500294,0.9679186344146729,0.6355254650115967,0.007639121729880571,67,340,1763470848,checkpoint_000067,True,False,68,e2df9152,2025-11-18_13-00-48,3.4166531562805176,254.203754901886,754106,gpu011,10.100.20.11,254.203754901886,68,256,0.026938625063762843,400,28,5,0.0,1900,0.009600415414503648,1,0.012697938374386151,e2df9152
0.0012535166461020708,2.9803022272290036e-08,0.955154538154602,1.4291020631790161,0.0012535166461020708,199,14400,1763471293,checkpoint_000199,True,False,200,140a0a6b,2025-11-18_13-08-13,3.406707525253296,671.6483788490295,755530,gpu011,10.100.20.11,671.6483788490295,200,16,0.03115093613159889,700,41,4,0.05,300,0.000881870950740583,2,0.03507113101335751,140a0a6b
8.629920921521261e-05,9.4241422630148e-06,0.9652289152145386,1.715392827987671,8.629920921521261e-05,105,1908,1763471320,checkpoint_000105,True,False,106,9c5a7198,2025-11-18_13-08-40,4.142632961273193,445.2557108402252,772008,gpu011,10.100.20.11,445.2557108402252,106,64,0.19062047380510463,2300,50,4,0.0,1900,0.005397775403391675,1,0.012976423029447038,9c5a7198
0.20133627951145172,0.12137109786272049,0.9562793970108032,0.2625997066497803,0.20133627951145172,4,180,1763471345,checkpoint_000004,True,False,5,42023566,2025-11-18_13-09-05,4.130155563354492,32.57931137084961,802835,gpu011,10.100.20.11,32.57931137084961,5,32,0.2618913912917298,300,30,4,0.0,2200,0.0022115033272394305,2,0.3267581227557168,42023566
0.0030565718188881874,0.0011670179665088654,0.9636639356613159,1.2812812328338623,0.0030565718188881874,199,1800,1763471877,checkpoint_000199,True,False,200,3bc54f98,2025-11-18_13-17-57,2.557356595993042,533.1616959571838,804009,gpu011,10.100.20.11,533.1616959571838,200,128,0.38680438251474486,600,50,4,0.4,1100,0.0004910275507234434,2,0.21711506882709483,3bc54f98
0.0004087632114533335,5.914444045629352e-06,0.9800958037376404,1.169976830482483,0.0004087632114533335,199,3600,1763472275,checkpoint_000199,True,False,200,0a7ec1b3,2025-11-18_13-24-35,4.504386901855469,901.5723297595978,805056,gpu011,10.100.20.11,901.5723297595978,200,64,0.07068523003134888,1400,3,2,0.3,2300,0.002707486139269477,2,0.011209522585777903,0a7ec1b3
0.005744693335145712,0.001682967646047473,0.9753031730651855,0.7851958870887756,0.005744693335145712,199,3600,1763472560,checkpoint_000199,True,False,200,8065364e,2025-11-18_13-29-20,3.335292100906372,657.5551431179047,839986,gpu011,10.100.20.11,657.5551431179047,200,64,0.4020431849331807,2000,86,4,0.2,900,0.0034431959924975364,2,0.6303801815612602,8065364e
