RMSE,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
freesolv_scaffold_1,"[453, 64, 125]",1.6993259191513062,1.7592698335647583,1.7460644245147705,1.8263368606567383,1.8434257507324219
freesolv_scaffold_2,"[455, 64, 123]",2.0969080924987793,2.0377235412597656,2.1417794227600098,2.0795106887817383,2.1164445877075195
freesolv_scaffold_3,"[452, 64, 126]",1.742445468902588,1.5044149160385132,1.6483609676361084,1.5994287729263306,1.4305402040481567
freesolv_scaffold_4,"[450, 64, 128]",1.8270089626312256,1.7947052717208862,1.7016193866729736,1.6380606889724731,1.8629891872406006
freesolv_scaffold_5,"[454, 64, 124]",2.1004106998443604,2.0432984828948975,2.110107660293579,2.1428966522216797,2.114116907119751
