AUC,Size,Ensemble 1,Ensemble 2,Ensemble 3,Ensemble 4,Ensemble 5
sider_scaffold_1,"[1001, 142, 284]",0.5512183308601379,0.5302916169166565,0.5515204071998596,0.5445197224617004,0.5668302178382874
sider_scaffold_2,"[1000, 142, 285]",0.6078725457191467,0.6043216586112976,0.5932115912437439,0.5796145796775818,0.585541307926178
sider_scaffold_3,"[1000, 142, 285]",0.6027408838272095,0.614672839641571,0.6150285005569458,0.6052088737487793,0.5698414444923401
sider_scaffold_4,"[1000, 142, 285]",0.5711409449577332,0.5520600080490112,0.567495584487915,0.5433862209320068,0.5351494550704956
sider_scaffold_5,"[1000, 142, 285]",0.6222500801086426,0.5740025043487549,0.6051533818244934,0.5854683518409729,0.5422480702400208
