,train_size,test_size,cross_split_overlap
sider_umap_0,1156,271,0.0985554323749362
sider_umap_1,1126,301,0.1024284843562029
sider_umap_2,1149,278,0.1001252283676371
sider_umap_3,1114,313,0.1025379429368394
sider_umap_4,1111,316,0.09344952327738436
