,test/roc,test/f1,test/accuracy,test/prc
bbbp_random_0,0.9294515252113342,0.930589199066162,0.8905852437019348,0.9736086130142212
bbbp_random_1,0.9287319183349608,0.930822730064392,0.8924936652183533,0.9739633202552797
bbbp_random_2,0.9244353175163268,0.9265305995941162,0.885496199131012,0.971488118171692
bbbp_random_3,0.9144511222839355,0.9268292784690856,0.885496199131012,0.966484308242798
bbbp_random_4,0.9207627177238464,0.9235127568244934,0.8797709941864014,0.9714168310165405
