,test/roc,test/f1,test/accuracy,test/prc
clintox_random_0,0.989209771156311,0.948275864124298,0.9479166865348816,0.9900716543197632
clintox_random_1,0.9862248301506042,0.9391979575157166,0.9388020634651184,0.987278699874878
clintox_random_2,0.9845328330993652,0.9383354783058168,0.9379340410232544,0.985408902168274
clintox_random_3,0.9869767427444458,0.9434613585472108,0.9431423544883728,0.987631380558014
clintox_random_4,0.9858859777450562,0.9434125423431396,0.9431423544883728,0.9865590333938599
