,test/roc,test/f1,test/accuracy,test/prc
sider_random_0,0.8264857530593872,0.8038843274116516,0.7593887448310852,0.8497599363327026
sider_random_0,0.8265620470046997,0.8045402765274048,0.7569282650947571,0.8492939472198486
sider_random_1,0.8234225511550903,0.8070248961448669,0.7623672485351562,0.8465803861618042
sider_random_2,0.7983388304710388,0.7880017161369324,0.7428127527236938,0.8195027112960815
sider_random_3,0.8244706392288208,0.80889892578125,0.7586117386817932,0.8467592000961304
sider_random_4,0.8140696287155151,0.8068474531173706,0.7574462294578552,0.8393439054489136
