,test/rmse,test/mae,test/r2
lipo_random_0,0.6939413547515869,0.5487133860588074,0.6682871580123901
lipo_random_1,0.7309653759002686,0.5659767985343933,0.6504123210906982
lipo_random_2,0.7545010447502136,0.5991233587265015,0.5927796363830566
lipo_random_3,0.7210420966148376,0.5559413433074951,0.6422064304351807
lipo_random_4,0.7408780455589294,0.5749136209487915,0.6289787292480469
