,test/roc,test/f1,test/accuracy,test/prc
bace_random_0,0.8586225509643555,0.7773584723472595,0.8052805066108704,0.7884999513626099
bace_random_1,0.8192007541656494,0.6959707140922546,0.7260726094245911,0.7615172266960144
bace_random_2,0.8240084052085876,0.7372013926506042,0.7458745837211609,0.7694779634475708
bace_random_3,0.8137831687927246,0.7394366264343262,0.7557755708694458,0.7034966945648193
bace_random_4,0.8155136108398438,0.7208480834960938,0.7392739057540894,0.7801725268363953
