SP,AUC,SD
0,0.890803035,0.013198853
0.05,0.844197186,0.012715476
0.1,0.850938108,0.01992687
0.15,0.761803787,0.057319622
0.2,0.823939529,0.040354599
0.25,0.647636087,0.069135069
0.3,0.565918444,0.152043044
0.35,0.625467825,0.105258431
0.4,0.844940478,0.146916529
0.45,0.575444439,0.173448095
0.5,0.543333338,0.112746548
0.55,0.45625,0.054326687
0.6,0.358333328,0.285949023
0.65,0.204166668,0.050542683
0.7,0.402777785,0.155552327
0.75,0.213333338,0.055777335
