SPECTRA_parameter,RMSE,SD
0,0.535857685,0.01338663
0.05,0.750454072,0.026172184
0.1,0.781610437,0.043339304
0.15,1.050957632,0.056262907
0.2,1.191557519,0.036985343
0.25,1.291620882,0.049390572
0.3,1.22848808,0.066624471
0.35,1.430174303,0.069853046
0.4,1.391395092,0.00361593
0.45,1.307266915,0.048766504
0.5,1.116543428,0.012245933
0.55,1.20541633,0.037568285
0.6,1.030838076,0.025731381
0.65,1.324046755,0.113126237
0.7,1.473549914,0.169562518
