SP,AUC,SD
0,0.867462498,0.018626181
0.05,0.791966554,0.045434452
0.1,0.832013582,0.039711804
0.15,0.713950747,0.018050657
0.2,0.619317613,0.11818029
0.25,0.268945525,0.200210434
0.3,0.48120371,0.088253822
0.35,0.433641969,0.027641462
0.4,0.54761906,0.107637747
0.45,0.697916672,0.173885418
0.5,0.590000014,0.031015041
0.55,0.311111122,0
