,test/roc,test/f1,test/accuracy,test/prc
clintox_scaffold_0,0.9862719774246216,0.942241370677948,0.9418402910232544,0.9871273040771484
clintox_scaffold_1,0.985317051410675,0.942241370677948,0.9418402910232544,0.9862293004989624
clintox_scaffold_2,0.9866759777069092,0.942241370677948,0.9418402910232544,0.9875120520591736
clintox_scaffold_3,0.9863699078559875,0.942241370677948,0.9418402910232544,0.9872707724571228
clintox_scaffold_4,0.9859455823898315,0.942241370677948,0.9418402910232544,0.9868078827857971
