,test/rmse,test/mae,test/r2
lipo_scaffold_0,0.6554001569747925,0.5032747983932495,0.7070926427841187
lipo_scaffold_1,0.6576665639877319,0.5077764391899109,0.7050637006759644
lipo_scaffold_2,0.6448680758476257,0.5010620951652527,0.7164306640625
lipo_scaffold_3,0.6414429545402527,0.4929423034191131,0.7194355726242065
lipo_scaffold_4,0.6369320154190063,0.48927417397499084,0.72336745262146
