,test/roc,test/f1,test/accuracy,test/prc
sider_scaffold_0,0.8278002738952637,0.802294135093689,0.7605414390563965,0.8453121185302734
sider_scaffold_1,0.8265138864517212,0.8032015562057495,0.7597624063491821,0.8441352844238281
sider_scaffold_2,0.8279964923858643,0.7997615933418274,0.7600545287132263,0.8458287715911865
sider_scaffold_3,0.826649010181427,0.8030049800872803,0.7591131925582886,0.8441117405891418
sider_scaffold_4,0.8284958004951477,0.803879976272583,0.7597948312759399,0.8459424376487732
