,train_size,test_size,cross_split_overlap
clintox_scaffold_0,1153,289,0.0946626364231766
clintox_scaffold_1,1153,289,0.0946626364231766
clintox_scaffold_2,1153,289,0.0946626364231766
clintox_scaffold_3,1153,289,0.0946626364231766
clintox_scaffold_4,1153,289,0.09466263642317664
