"","cso_mean","cso_sd","metrics_mean","metrics_sd","split","dataset","SPECTRA_parameter"
"1",0.176086221391593,0.00139540109968449,0.76548378256,0.0154983184361715,"Random","bace",0
"2",0.171937570523165,0.0018593361952805,0.858450033664703,0.0225534865964079,"Scaffold","bace",0
"3",0.152095274212687,0.00802499261334372,0.51221808829248,0.100533443884849,"UMAP","bace",0.1
"4",0.175468267538041,0.000684169724533762,0.868921824296315,0.0245307693580225,"SPECTRA","bace",0
"5",0.160809055166443,0.00149369584833114,0.791966553529104,0.0578277129610724,"SPECTRA","bace",0.05
"6",0.150152303602159,0.00166359112566504,0.822901805241903,0.0409056992722844,"SPECTRA","bace",0.1
"7",0.146277155653453,0.00344334336753302,0.714040446281433,0.0574186202137159,"SPECTRA","bace",0.15
"8",0.142372211464731,0.000720404548416928,0.625263925393422,0.132262900149681,"SPECTRA","bace",0.2
"9",0.137806242847917,0.000671496455776165,0.324853480855624,0.253019069947666,"SPECTRA","bace",0.25
"10",0.137030145652433,0.0024850695607784,0.481600535909335,0.22907315635843,"SPECTRA","bace",0.3
"11",0.130581209348446,0.00276724021619264,0.429567893346151,0.170873122062551,"SPECTRA","bace",0.35
"12",0.127522626815388,0.00384907179468637,0.660925927758217,0.273797811288099,"SPECTRA","bace",0.45
"13",0.11688204390778,0.0100270286190511,0.580476200580597,0.336722555605391,"SPECTRA","bace",0.5
"14",0.127305635976358,0.00677416780143539,0.311111122369766,0.254067450941079,"SPECTRA","bace",0.55
"15",0.112500858763205,0.000937233315476373,0.920087604522705,0.0203456030647798,"Random","bbbp",0
"16",0.108461495071741,0.00605587094151745,0.903773732185364,0.0208009576556673,"Scaffold","bbbp",0
"17",0.112530316632852,0.00288073761219759,0.769373123645782,0.118181888614228,"UMAP","bbbp",0
"18",0.113132193739579,0.00102181314265521,0.890803035100301,0.0128776330928017,"SPECTRA","bbbp",0
"19",0.0975092289446722,0.00104460290633418,0.844197185834249,0.0428560329166693,"SPECTRA","bbbp",0.05
"20",0.0872735918544602,0.00147653067640134,0.851663585503896,0.0399012415334431,"SPECTRA","bbbp",0.1
"21",0.0769510818617348,0.00146734376300344,0.760183143615723,0.0843441855353984,"SPECTRA","bbbp",0.15
"22",0.0750539198062411,0.00125176846327939,0.824807580312093,0.0453968500009964,"SPECTRA","bbbp",0.2
"23",0.0684242753353461,0.000632339019015399,0.655953984459241,0.31469785623292,"SPECTRA","bbbp",0.25
"24",0.0658321126549426,0.0027595115922995,0.565918443600337,0.323113195621412,"SPECTRA","bbbp",0.3
"25",0.0614821019769479,0.00358889731079185,0.625467824935913,0.152818194024083,"SPECTRA","bbbp",0.35
"26",0.0551479234548587,0.00236270759304435,0.641498779008786,0.385977200081604,"SPECTRA","bbbp",0.4
"27",0.0534945055258072,0.00363674341208673,0.575444439053535,0.256994593258427,"SPECTRA","bbbp",0.45
"28",0.0513788400466782,0.00199491533467018,0.543333337704341,0.18612125367764,"SPECTRA","bbbp",0.5
"29",0.0515188059022888,0.00169163293456625,0.45625,0.436190642707652,"SPECTRA","bbbp",0.55
"30",0.0457666134416068,0.00200700996206471,0.35833332836628,0.318281071163957,"SPECTRA","bbbp",0.6
"31",0.0433351662146041,0.00744326893233249,0.204166667660077,0.167446094612992,"SPECTRA","bbbp",0.65
"32",0.0370279845710263,0.00882006629044994,0.402777784566085,0.153766645662399,"SPECTRA","bbbp",0.7
"33",0.0425624219214943,0.00759427772034071,0.213333338499069,0.32484429241544,"SPECTRA","bbbp",0.75
"34",0.0964828762964594,0.000808123198034369,0.854328587055206,0.076089006791902,"Random","clintox",0
"35",0.0957372666693404,0.00765010335262453,0.893300814628601,0.0254865468059188,"Scaffold","clintox",0
"36",0.0883697707816347,0.00887027501431813,0.857810289859771,0.0628699823190098,"UMAP","clintox",0.05
"37",0.0965776443291748,0.00158478748979687,0.899412588278453,0.0537958827661058,"SPECTRA","clintox",0
"38",0.0833900606395332,0.00182567050164153,0.895142289002736,0.0370399183441299,"SPECTRA","clintox",0.05
"39",0.0708337164542363,0.0027759195815437,0.677396047115326,0.168924360911436,"SPECTRA","clintox",0.1
"40",0.0642041818105759,0.00279309784869411,0.656736334164937,0.0807153873156626,"SPECTRA","clintox",0.15
"41",0.0605402210499843,0.00139203360561702,0.492533421516418,0.199472219554481,"SPECTRA","clintox",0.2
"42",0.0533417963791823,0.0039753483368323,0.553888887166977,0.339679215261295,"SPECTRA","clintox",0.25
"43",0.0502344786722772,0.00112074639345167,0.226811591784159,0.0723186947462663,"SPECTRA","clintox",0.3
"44",0.0478551355578965,0.00105989351084291,0.271929829816023,0.292011552398242,"SPECTRA","clintox",0.35
"45",0.0414310212067777,0.00328203004152549,0.341666655739148,0.138828357445345,"SPECTRA","clintox",0.4
"46",0.0413085175041584,0.0037852344187596,0.311688313881556,0.405110660583266,"SPECTRA","clintox",0.45
"47",0.032160241727771,0.00119788734800141,0.333333333333333,0.487950036474267,"SPECTRA","clintox",0.5
"48",0.0346871653229674,0.00264370544398393,0,0,"SPECTRA","clintox",0.55
"49",0.028969522679588,0.00199908582101824,0.075,0.1137823737291,"SPECTRA","clintox",0.6
"50",0.0296524195807714,0.00259675484643736,0,0,"SPECTRA","clintox",0.65
"51",0.0283913609777175,0.00474405084486583,0.333333333333333,0.487950036474267,"SPECTRA","clintox",0.75
"52",0.0972951402351857,0.00102508380318221,0.589982502460479,0.0186277375459498,"Random","sider",0
"53",0.0993532520589152,0.000230002560339695,0.576831564903259,0.0280082123235499,"Scaffold","sider",0
"54",0.0950438223369204,0.00702109392772994,0.577008972167968,0.0216286444216824,"UMAP","sider",0
"55",0.0954654152769908,0.000541031750765798,0.606789294878642,0.018046388191911,"SPECTRA","sider",0
"56",0.0792772052063006,0.00114398155005147,0.552220344543457,0.0143576891852449,"SPECTRA","sider",0.05
"57",0.0658268079952857,0.000833583028580983,0.539407142003377,0.0489654675935324,"SPECTRA","sider",0.1
"58",0.0561559681676105,0.00294476655563724,0.594400894641876,0.0502950144596684,"SPECTRA","sider",0.15
"59",0.0496715470853937,0.000300720381207057,0.5559079905351,0.0299942721551836,"SPECTRA","sider",0.2
"60",0.0405958126326513,0.00308363681269036,0.54838732679685,0.0447530910793892,"SPECTRA","sider",0.25
"61",0.0325448404798222,0.0023473684588041,0.530394699176153,0.0405394489058297,"SPECTRA","sider",0.3
"62",0.0287418136834539,0.00457888592737653,0.499816129604975,0.0685712993631126,"SPECTRA","sider",0.35
"63",0.0269004358042369,0.00405602753723368,0.541154658794403,0.0680325657986217,"SPECTRA","sider",0.4
"64",0.0214796436136996,0.00168781908630253,0.557280383507411,0.0807127928595936,"SPECTRA","sider",0.45
"65",0.0188959053204673,0.000592342731170287,0.484082917372386,0.0549194104374821,"SPECTRA","sider",0.5
"66",0.0161548050616752,0.00128543717096748,0.527008002996445,0.0838479869276742,"SPECTRA","sider",0.55
"67",0.0168087832433286,0.0010826550878381,0.471509818236033,0.101749079254262,"SPECTRA","sider",0.6
"68",0.0134504415966428,0.00102242139288311,0.464784185091654,0.0803289437631321,"SPECTRA","sider",0.65
"69",0.00728497506247621,0.00318462476879056,0.481350004673004,0.065881127626665,"SPECTRA","sider",0.7
"70",0.00701930676338405,0.00203057551069853,0.540348517894745,0.0841234488287824,"SPECTRA","sider",0.75
"71",0.00452741982269088,0.00423855951456931,0.458626292149226,0.0571924874792692,"SPECTRA","sider",0.8
"72",0.00306716970166316,0.00263230860332385,0.385224862893422,0.0637358913225606,"SPECTRA","sider",0.85
"73",0.000968608892892845,0.000877097100403455,0.340658436218898,0.0770457267423305,"SPECTRA","sider",0.9
"74",0.00121952118430321,0.00138977542499068,0.394197527567546,0.0460644684957722,"SPECTRA","sider",0.95
"75",0,0,0.350418385863304,0.0523229198836777,"SPECTRA","sider",1
"76",0.0874314078259938,0.000317267498574938,0.835801751613616,0.0101749547678829,"Random","tox21",0
"77",0.0863144008278704,0.000565270276941334,0.812958760261536,0.0123949522278398,"Scaffold","tox21",0
"78",0.0791921298354196,0.0194971543758876,0.744206030368804,0.0240728667681958,"UMAP","tox21",0
"79",0.087888398757399,0.000306480890525681,0.836862504482269,0.0167076491050702,"SPECTRA","tox21",0
"80",0.0652397280587502,0.000252130641956396,0.778878041108449,0.0252127347040612,"SPECTRA","tox21",0.05
"81",0.0532456540612159,0.00145682852735749,0.737143552303314,0.0466836240454315,"SPECTRA","tox21",0.1
"82",0.0456734992400111,0.00108041736640969,0.691885729630788,0.0437003905459654,"SPECTRA","tox21",0.15
"83",0.0402877192581782,0.000327534390003472,0.648898810148239,0.0968170015030399,"SPECTRA","tox21",0.2
"84",0.0371955116842109,0.000356323598081289,0.580942471822103,0.0481125036025734,"SPECTRA","tox21",0.25
"85",0.0313698339714541,0.0020306526082025,0.458355532089869,0.0544908882806282,"SPECTRA","tox21",0.3
"86",0.0268767348594025,0.000675809368961206,0.448218112190565,0.133310039469607,"SPECTRA","tox21",0.35
"87",0.0253103141552605,0.00221875490642714,0.41505062331756,0.20733209740174,"SPECTRA","tox21",0.4
"88",0.0239562358309382,0.00357800611685216,0.377619758248329,0.105953415731756,"SPECTRA","tox21",0.45
"89",0.0193790394939215,0.00151281969884849,0.415324699878693,0.15948128529432,"SPECTRA","tox21",0.5
"90",0.017858113284426,0.00232063157502906,0.215350837508837,0.0443086608333562,"SPECTRA","tox21",0.55
"91",0.0184363332441153,0.00146703488152423,0.363117030262947,0.104229487202014,"SPECTRA","tox21",0.6
"92",0.0125436458421743,0.00140129825492955,0.161689115564028,0.0486021006332006,"SPECTRA","tox21",0.65
"93",0.00945017329609111,0.00361095881855533,0.164049823582172,0.0697987624487289,"SPECTRA","tox21",0.7
"94",0.0061391488467528,0.00330490238795534,0.349210744599501,0.0943561910724944,"SPECTRA","tox21",0.75
"95",0.00474387000498285,0.00431385157904983,0.109629632035891,0.0410877811801713,"SPECTRA","tox21",0.8
"96",0.00563589911297649,0.00153518340004768,0.259814815161129,0.201723580512409,"SPECTRA","tox21",0.85
"97",0.00245442247034775,0.00106053319950219,0.203124997019768,0.0604178018558798,"SPECTRA","tox21",0.9
"98",0.00180749678323828,0.00155717292843497,0.174444442490737,0.106996999329621,"SPECTRA","tox21",0.95
"99",0,0,0.153703697025776,0.107273329799889,"SPECTRA","tox21",1
