index,train_size,val_size,test_size,cross_split_overlap
bbbp_umap_0,1408,201,356,0.11069861709779186
bbbp_umap_1,1245,177,543,0.10967685230769234
bbbp_umap_2,1426,203,336,0.1142976722527134
bbbp_umap_3,1518,216,231,0.11666474561451297
bbbp_umap_4,1436,205,324,0.11131369589154957
