index,train_size,val_size,test_size,cross_split_overlap
lipo_umap_0,3059,437,704,0.1321530658489646
lipo_umap_1,2771,395,1034,0.12615295089329484
lipo_umap_2,3165,452,583,0.12809537836227763
lipo_umap_3,3299,471,430,0.13433834273734985
lipo_umap_4,2625,374,1201,0.1299356992421354
