SPECTRA_parameter,average,std
0.0,1.7873606284459431,0.05326803311089627
0.05,2.3809895515441895,0.25153272957130535
0.1,3.290183941523234,0.1915980733293036
0.15,3.8391617139180503,0.19484564215052594
0.2,4.195926825205485,0.1702936309821078
0.25,4.033944129943848,0.29429867800587045
0.3,4.425281842549642,0.5754150756520471
0.35,4.270464261372884,0.5828587159053958
0.4,3.811668316523234,0.10247543455281531
0.45,4.245443344116211,1.1869568881259163
0.5,5.202536900838216,1.119964489131539
0.55,3.4103477795918784,0.5870535391510614
0.6,3.9854063193003335,0.664257969237659
0.65,3.8932721614837646,1.2943857645542105
0.7,2.6735448439915976,0.941401767347064
0.75,3.0275421937306723,0.6849271180743116
0.8,3.2133106787999473,1.2496810001123526
0.85,2.9342377185821533,1.0223660732314162
0.9,2.4218750397364297,0.8322055960276341
0.95,2.603664755821228,1.2108299773568056
1.0,2.37014369169871,0.9202291792479539
