SPECTRA_parameter,average,std
0.0,0.9287141362826029,0.002609826724919278
0.05,0.870399018128713,0.011714128826401387
0.1,0.8329023718833923,0.010549395259893471
0.15,0.8133913477261862,0.05132423703200536
0.2,0.7899333635965983,0.014803404294450616
0.25,0.8183240493138632,0.02215527552721962
0.3,0.7438916762669882,0.027344136613156957
0.35,0.7731866240501404,0.04842193735612011
0.4,0.6258004903793335,0.12261158202762683
0.45,0.6359941164652506,0.09683947099764423
0.5,0.6236619154612223,0.1470156359647686
0.55,0.7114992340405782,0.04842442109662954
0.6,0.7205076416333517,0.09965558024872959
0.65,0.6671961943308512,0.06747974029261697
0.7,0.7571078538894653,0.09277635533882635
0.75,0.9154762029647827,0.03577376754050901
0.8,0.7039627234141032,0.03263403262410854
0.85,0.5964506069819132,0.5183135128188799
0.9,1.0,0.0
0.95,0.3333333333333333,0.5773502691896258
