SPECTRA_parameter,average,std
0.0,0.9808307687441508,0.0009633525296822986
0.05,0.9772065877914429,0.004108283024529388
0.1,0.9685056408246359,0.002146563864163095
0.15,0.9594818353652954,0.00830236356967813
0.2,0.9587192535400391,0.02765150604404463
0.25,0.9462548891703286,0.009832097294129786
0.3,0.9669212500254313,0.015520085201147815
0.35,0.9730269511540731,0.009452470004517986
0.4,0.9429609179496765,0.022291530858349538
0.45,0.9509868224461874,0.018177636413619618
0.5,0.9516912301381429,0.01944957077998324
0.55,0.9363688627878824,0.033370273506934105
0.6,0.9502604405085245,0.028430902325519206
0.65,0.9749149680137634,0.04234875421660474
0.7,0.9661518931388855,0.019354720350925878
0.75,0.9565327962239584,0.01063361797415889
0.8,0.9714479446411133,0.025055786473534424
0.85,0.9963831106821696,0.003481240063753433
0.9,0.9930555820465088,0.0
0.95,0.9736276268959045,0.03308234914830532
1.0,0.9839379986127218,0.014389877899873433
