SPECTRA_parameter,average,std
0.0,1.0574319958686829,0.05609657197788736
0.05,1.3197746674219768,0.03235991157931451
0.1,1.6490131616592407,0.06114232315563963
0.15,1.6484334866205852,0.11306777369134322
0.2,1.715135137240092,0.04616731036192821
0.25,1.8358872731526692,0.05958502133450237
0.3,1.7625223398208618,0.08439990892719608
0.35,1.6699864864349365,0.05359734579950635
0.4,1.972725788752238,0.3095144367405357
0.45,1.519365390141805,0.15725533274755882
0.5,1.539493203163147,0.37340777679702547
0.55,1.5515239636103313,0.09501925124888615
0.6,2.1402833461761475,0.17999151631422802
0.65,1.6730549732844036,0.5680834360721252
0.7,1.490031401316325,0.17448171013165353
0.75,1.1594495177268982,0.22553681213742746
0.8,1.3742777506510417,0.3322138120560488
0.85,1.1860246658325195,0.5777329973415981
0.9,1.2575692137082417,0.6725114004938566
0.95,0.8668232957522074,0.3556209095783495
1.0,0.9472103814284006,0.6636759942310473
