SPECTRA_parameter,average,std
0.0,0.8293310006459554,0.0008845228918820128
0.05,0.8225493232409159,0.0008155734197048834
0.1,0.8164265751838684,0.010971121963470469
0.15,0.8112694422403971,0.007750191546350907
0.2,0.80950399239858,0.011368973667593044
0.25,0.8029295206069946,0.007028796170693274
0.3,0.7944167852401733,0.02003069329858645
0.35,0.8009623090426127,0.014809020119439128
0.4,0.8029638131459554,0.017664192007443066
0.45,0.7777816851933798,0.006333731342511504
0.5,0.7750957409540812,0.026375083752345613
0.55,0.7876521746317545,0.008243401675180163
0.6,0.7752611835797628,0.032897477228358396
0.65,0.7886415521303812,0.006499975912094258
0.7,0.78025221824646,0.010944711204554928
0.75,0.7805537581443787,0.01820368792987064
0.8,0.7988750338554382,0.009553640448444676
0.85,0.7948974370956421,0.0010780992607618625
0.9,0.7891305486361185,0.015146080927678666
0.95,0.7917283177375793,0.006675155848623286
1.0,0.7892263531684875,0.008467197029466871
