SPECTRA_parameter,average,std
0.0,0.6734659473101298,0.010670143594642901
0.05,1.098773996035258,0.042848860149756425
0.1,1.2051187753677368,0.017224851471805285
0.15,1.239350159962972,0.015691686163066834
0.2,1.242443601290385,0.032587440545145833
0.25,1.3450539509455364,0.02611808348403068
0.3,1.251800537109375,0.1152979728196017
0.35,1.2308026154836018,0.17780107467816966
0.4,1.263742446899414,0.06663962177346199
0.45,1.2695653438568115,0.03821397172649855
0.5,1.310821294784546,0.06468871696989276
0.55,1.2283238967259724,0.06804141166757077
0.6,1.3752299547195435,0.03667796411197023
0.65,1.271259069442749,0.13988207056346721
0.7,1.0574973821640015,0.029912482991944603
0.75,1.2918707132339478,0.1514950791070278
0.8,1.2654151916503906,0.21864339458818008
0.85,1.136846621831258,0.0956527941286103
0.9,1.016757329305013,0.2517086768789431
0.95,1.1427723169326782,0.37470099330209994
