dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
bbbp,umap,2,LogReg,0.8875297315664289,
bbbp,umap,2,RF,0.8418280665987088,0.12198750911856665
bbbp,umap,2,XGB,0.8144750254841998,0.14433756729740643
bbbp,umap,2,SVM,0.7957866123003737,0.10910894511799618
bbbp,umap,3,LogReg,0.6881827209533268,
bbbp,umap,3,RF,0.8036246276067527,0.28679449480609326
bbbp,umap,3,XGB,0.38493048659384316,0.4108907018066591
bbbp,umap,3,SVM,0.8987090367428003,0.28679449480609326
bbbp,umap,4,LogReg,0.9487577639751552,
bbbp,umap,4,RF,0.9169254658385093,0.07856742013183861
bbbp,umap,4,XGB,0.9239130434782609,0.17568209223157663
bbbp,umap,4,SVM,0.9394409937888198,0.07856742013183861
